ltp
111.0
2043.5
719.35
23106.6
855.95
2496.5
1006.1
807.05
347.55
644.7
352.65
186.7
230.35
3655.1
437.75
5033.1
382.25
182.05
3225.3
1898.3
863.25
3796.8
965.05
4683.8
7387.8
1518.2
7191.0
2416.25
234.0
195.0
92.85
1686.55
715.75
138.3
1099.0
135.55
353.15
880.3
269.4
19275.2
4569.15
431.6
334.2
1104.85
1256.75
255.8
5625.6
2018.9
698.5
1138.35
309.25
1746.3
519.0
561.55
2308.0
2291.95
434.7
212.15
3707.95
4998.15
2239.35
5583.3
3391.3
3152.3
142.6
143.8
334.75
124.6
1691.35
1011.9
1644.5
1838.5
3002.45
462.15
1235.85
2457.1
1595.5
647.55
1353.0
2938.0
478.15
3989.45
254.7
2523.5
321.45
39148.9
957.5
1345.05
539.65
97.65
0.0
388.4
431.5
91.35
708.5
68.75
467.15
184.85
1408.65
4492.75
1477.45
2461.9
897.45
382.3
814.9
702.45
252.85
540.7
1770.3
127.95
4611.7
449.25
5407.25
2730.45
407.3
678.0
1139.05
109396.0
294.35
1577.0
1795.0
588.25
10178.8
932.45
588.6
65.45
2475.75
1277.5
53.3
142.1
231.9
4686.1
22004.1
1144.8
183.05
282.55
898.8
4206.9
769.6
3615.2
40806.4
1294.05
5957.45
244.9
2502.4
1077.05
5293.75
398.25
257.5
254.5
634.05
16395.5
65.7
234.65
2428.7
833.1
1319.8
2454.0
99.1
25650.3
1892.6
3944.8
575.05
570.5
99.3
1142.35
615.35
839.1
1478.05
1090.1
1876.0
3429.9
878.9
7356.2
610.25
257.5
129.6
91.1
1248.95
913.2
3176.05
1922.05
700.15
2067.5
41.55
3146.3
609.35
8537.4
88.0
1581.55
1058.7
925.5
241.35
10.65
896.6
1666.4
429.3
18.0
277.25
98.2
636.4
