pid,id,sector,symbol,token,ot,ltp,lp,q,sl,target,mr,po,slo,to,gol,rFlag,eFlag,oc,tOEP,tOP,tOEx,ltpP
0,31,Information Technology,LTIM-EQ,17818,sell,4586.05,4584.903487500001,-109,4588.939545454546,4582.582545454546,0,open,open,,0,0,0,ETFNiftyBearishReversalPatternToSell,1715748950.3686702,,,4586.05
0,46,Fast Moving Consumer Goods,BRITANNIA-EQ,547,sell,5151.4,5150.11215,-97,5158.390011269721,5143.011986476334,0,open,open,,0,0,0,ETFNiftyBearishReversalPatternToSell,1715749106.942724,,,5151.4
0,7,Fast Moving Consumer Goods,ITC-EQ,1660,sell,432.22156862745095,432.1135132352941,-1156,432.7602669745584,431.575130610922,0,open,open,,0,0,0,ETFNiftyBearishReversalPatternToSell,1715749106.9497,,,432.22156862745095
0,9,Telecommunication,BHARTIARTL-EQ,10604,sell,1290.4461538461535,1290.1235423076919,-387,1291.7319502398425,1288.9031981737267,0,open,open,,0,0,0,ETFBearishReversalPatternToSell,1715749106.959698,,,1290.4461538461535
