id,disc,sector,symbol,token,cap,ltp
72,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD-EQ,17971,70028,1.1
73,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL-EQ,4717,69137,1.1
74,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG-EQ,305,65886,1.1
75,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM-EQ,3432,65852,1.1
76,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI-EQ,18652,62678,1.1
77,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN-EQ,685,62581,1.1
78,Marico Ltd.,Fast Moving Consumer Goods,MARICO-EQ,4067,62040,1.1
79,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP-EQ,157,61984,1.1
80,Tata Power Co. Ltd.,Power,TATAPOWER-EQ,3426,60791,1.1
81,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD-EQ,2181,57128,1.1
82,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT-EQ,404,56507,1.1
83,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL-EQ,6733,55717,1.1
84,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N-EQ,10447,55009,1.1
85,UPL Ltd.,Chemicals,UPL-EQ,11287,53867,1.1
86,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL-EQ,8110,52747,1.1
87,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI-EQ,21770,52525,1.1
88,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM-EQ,3518,52024,1.1
89,Canara Bank,Financial Services,CANBK-EQ,10794,51602,1.1
90,Punjab National Bank,Financial Services,PNB-EQ,10666,51311,1.1
91,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR-EQ,8479,51176,1.1
92,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE-EQ,7929,49754,1.1
93,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA-EQ,312,49179,1.1
94,Trent Ltd.,Consumer Services,TRENT-EQ,1964,48877,1.1
95,IDBI Bank Ltd.,Financial Services,IDBI-EQ,1476,48385,1.1
96,Info Edge (India) Ltd.,Consumer Services,NAUKRI-EQ,13751,48102,1.1
97,Abbott India Ltd.,Healthcare,ABBOTINDIA-EQ,17903,47930,1.1
98,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN-EQ,4306,47155,1.1
99,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO-EQ,1348,46909,1.1
100,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL-EQ,1512,46070,1.1
101,PI Industries Ltd.,Chemicals,PIIND-EQ,24184,45973,1.1
102,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC-EQ,13611,45824,1.1
103,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER-EQ,760,45821,1.1
104,Union Bank of India,Financial Services,UNIONBANK-EQ,10753,45485,1.1
105,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON-EQ,4204,45469,1.1
106,Cummins India Ltd.,Capital Goods,CUMMINSIND-EQ,1901,45172,1.1
107,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER-EQ,1011,44820,1.1
108,Macrotech Developers Ltd.,Realty,LODHA-EQ,3220,44820,1.1
109,Zomato Ltd.,Consumer Services,ZOMATO-EQ,5097,43622,1.1
110,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH-EQ,2535,43301,1.1
111,Yes Bank Ltd.,Financial Services,YESBANK-EQ,11915,43275,1.1
112,Polycab India Ltd.,Capital Goods,POLYCAB-EQ,9590,43130,1.1
113,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH-EQ,22377,42824,1.1
114,Indian Overseas Bank,Financial Services,IOB-EQ,9348,42435,1.1
115,Page Industries Ltd.,Textiles,PAGEIND-EQ,14413,42276,1.1
116,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL-EQ,15141,40997,1.1
117,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY-EQ,212,40870,1.1
118,Alkem Laboratories Ltd.,Healthcare,ALKEM-EQ,11703,40605,1.1
119,NHPC Ltd.,Power,NHPC-EQ,17400,40381,1.1
120,Nifty 50 Index,Nifty 50,Nifty 50,99926000,40359,1.1
121,Power Finance Corporation Ltd.,Financial Services,PFC-EQ,14299,40063,1.1
122,JSW Energy Ltd.,Power,JSWENERGY-EQ,17869,39612,1.1
123,Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN-EQ,23650,39339,1.1
124,AU Small Finance Bank Ltd.,Financial Services,AUBANK-EQ,21238,38614,1.1
125,Indus Towers Ltd.,Telecommunication,INDUSTOWER-EQ,29135,38537,1.1
126,Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND-EQ,335,37724,1.1
127,United Breweries Ltd.,Fast Moving Consumer Goods,UBL-EQ,16713,37663,1.1
128,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL-EQ,21614,37128,1.1
129,Tata Elxsi Ltd.,Information Technology,TATAELXSI-EQ,3411,37111,1.1
130,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT-EQ,8075,36900,1.1
131,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC-EQ,4244,36449,1.1
132,Indian Bank,Financial Services,INDIANB-EQ,14309,35937,1.1
133,Astral Ltd.,Capital Goods,ASTRAL-EQ,14418,35913,1.1
134,Bharat Forge Ltd.,Capital Goods,BHARATFORG-EQ,422,35871,1.1
135,L&T Technology Services Ltd.,Information Technology,LTTS-EQ,18564,35678,1.1
136,MRF Ltd.,Automobile and Auto Components,MRF-EQ,2277,35645,1.1
137,Tata Communications Ltd.,Telecommunication,TATACOMM-EQ,3721,35496,1.1
138,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA-EQ,6545,35431,1.1
139,Container Corporation of India Ltd.,Services,CONCOR-EQ,4749,35354,1.1
140,Persistent Systems Ltd.,Information Technology,PERSISTENT-EQ,18365,35228,1.1
141,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PERSISTENT-EQ,18365,35084,1.1
142,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC-EQ,2029,34762,1.1
143,Linde India Ltd.,Chemicals,LINDEINDIA-EQ,1627,34368,1.1
144,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB-EQ,11184,34350,1.1
145,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET-EQ,11351,34327,1.1
146,Solar Industries India Ltd.,Chemicals,SOLARINDS-EQ,13332,34318,1.1
147,Steel Authority of India Ltd.,Metals & Mining,SAIL-EQ,2963,34159,1.1
148,MphasiS Ltd.,Information Technology,MPHASIS-EQ,4503,33831,1.1
149,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO-EQ,1406,33591,1.1
150,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO-EQ,25780,33428,1.1
151,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM-EQ,13750,33176,1.1
152,NMDC Ltd.,Metals & Mining,NMDC-EQ,15332,32690,1.1
153,Honeywell Automation India Ltd.,Capital Goods,HONAUT-EQ,3417,32170,1.1
154,Supreme Industries Ltd.,Capital Goods,SUPREMEIND-EQ,3363,31928,1.1
155,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD-EQ,10599,31638,1.1
156,Bandhan Bank Ltd.,Financial Services,BANDHANBNK-EQ,2263,31532,1.1
157,ACC Ltd.,Construction Materials,ACC-EQ,22,31307,1.1
158,Oberoi Realty Ltd.,Realty,OBEROIRLTY-EQ,20242,30637,1.1
159,Bank of India,Financial Services,BANKINDIA-EQ,4745,30633,1.1
160,REC Ltd.,Financial Services,RECLTD-EQ,15355,30400,1.1
161,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA-EQ,275,30357,1.1
162,Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH-EQ,7083,30148,1.1
163,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL-EQ,11262,30009,1.1
164,Lupin Ltd.,Healthcare,LUPIN-EQ,10440,29500,1.1
165,UCO Bank,Financial Services,UCOBANK-EQ,11223,29052,1.1
166,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD-EQ,18096,29039,1.1
167,PB Fintech Ltd.,Financial Services,POLICYBZR-EQ,6656,28757,1.1
168,Godrej Properties Ltd.,Realty,GODREJPROP-EQ,17875,28665,1.1
169,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN-EQ,13285,28621,1.1
170,Vodafone Idea Ltd.,Telecommunication,IDEA-EQ,14366,28234,1.1
171,Oracle Financial Services Software Ltd.,Information Technology,OFSS-EQ,10738,28197,1.1
172,Federal Bank Ltd.,Financial Services,FEDERALBNK-EQ,1023,28010,1.1
173,Vedant Fashions Ltd.,Consumer Services,MANYAVAR-EQ,8167,27656,1.1
174,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA-EQ,14154,27554,1.1
175,AIA Engineering Ltd.,Capital Goods,AIAENG-EQ,13086,27382,1.1
176,Thermax Ltd.,Capital Goods,THERMAX-EQ,3475,27318,1.1
177,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL-EQ,17438,27289,1.1
178,Voltas Ltd.,Consumer Durables,VOLTAS-EQ,3718,27074,1.1
179,3M India Ltd.,Diversified,3MINDIA-EQ,474,25868,1.1
180,Coromandel International Ltd.,Chemicals,COROMANDEL-EQ,739,25850,1.1
181,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN-EQ,3339,25548,1.1
182,KPIT Technologies Ltd.,Information Technology,KPITTECH-EQ,9683,25361,1.1
183,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR-EQ,19943,25131,1.1
184,Escorts Kubota Ltd.,Capital Goods,ESCORTS-EQ,958,24950,1.1
185,Biocon Ltd.,Healthcare,BIOCON-EQ,11373,24774,1.1
186,Tata Chemicals Ltd.,Chemicals,TATACHEM-EQ,3405,24773,1.1
187,Torrent Power Ltd.,Power,TORNTPOWER-EQ,13786,24530,1.1
188,GMR Airports Infrastructure Ltd.,Services,GMRINFRA-EQ,13528,24475,1.1
189,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL-EQ,438,24391,1.1
190,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS-EQ,4684,24206,1.1
191,Bayer Cropscience Ltd.,Chemicals,BAYERCROP-EQ,17927,24196,1.1
192,Delhivery Ltd.,Services,DELHIVERY-EQ,9599,24167,1.1
193,Syngene International Ltd.,Healthcare,SYNGENE-EQ,10243,23865,1.1
194,CRISIL Ltd.,Financial Services,CRISIL-EQ,757,23520,1.1
195,General Insurance Corporation of India,Financial Services,GICRE-EQ,277,23447,1.1
196,Coforge Ltd.,Information Technology,COFORGE-EQ,11543,23295,1.1
197,Phoenix Mills Ltd.,Realty,PHOENIXLTD-EQ,14552,23235,1.1
198,J.K. Cement Ltd.,Construction Materials,JKCEMENT-EQ,13270,22590,1.1
199,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA-EQ,11403,22462,1.1
200,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO-EQ,1153,22442,1.1
201,Max Financial Services Ltd.,Financial Services,MFSL-EQ,2142,21914,1.1
202,Metro Brands Ltd.,Consumer Durables,METROBRAND-EQ,7242,21593,1.1
203,Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR-EQ,16965,21416,1.1
204,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI-EQ,8596,21331,1.1
205,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM-EQ,17105,21268,1.1
206,Relaxo Footwears Ltd.,Consumer Durables,RELAXO-EQ,24225,21182,1.1
207,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR-EQ,14672,21162,1.1
208,SKF India Ltd.,Capital Goods,SKFINDIA-EQ,3186,21039,1.1
209,Central Bank of India,Financial Services,CENTRALBK-EQ,14894,20921,1.1
210,Gland Pharma Ltd.,Healthcare,GLAND-EQ,1186,20886,1.1
211,Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER-EQ,1196,20845,1.1
212,Grindwell Norton Ltd.,Capital Goods,GRINDWELL-EQ,13560,20797,1.1
213,Timken India Ltd.,Capital Goods,TIMKEN-EQ,14198,20726,1.1
214,Ipca Laboratories Ltd.,Healthcare,IPCALAB-EQ,1633,20558,1.1
215,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST-EQ,3345,20550,1.1
216,Atul Ltd.,Chemicals,ATUL-EQ,263,20538,1.1
217,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL-EQ,3812,20387,1.1
218,L&T Finance Holdings Ltd.,Financial Services,L&TFH-EQ,24948,20345,1.1
219,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL-EQ,30108,20336,1.1
220,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE-EQ,163,20316,1.1
221,K.P.R. Mill Ltd.,Textiles,KPRMILL-EQ,14912,19760,1.1
222,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA-EQ,16915,19743,1.1
223,Fortis Healthcare Ltd.,Healthcare,FORTIS-EQ,14592,19621,1.1
224,Aarti Industries Ltd.,Chemicals,AARTIIND-EQ,7,18783,1.1
225,Carborundum Universal Ltd.,Capital Goods,CARBORUNIV-EQ,595,18719,1.1
