id,disc,sector,symbol,token,cap,ltp
313,Triveni Turbine Ltd.,Capital Goods,TRITURBINE-EQ,25584,10590,1.1
314,Finolex Industries Ltd.,Capital Goods,FINPIPE-EQ,1041,10585,1.1
315,Manappuram Finance Ltd.,Financial Services,MANAPPURAM-EQ,19061,10469,1.1
316,EIH Ltd.,Consumer Services,EIHOTEL-EQ,919,10359,1.1
317,Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY-EQ,13305,10357,1.1
318,NATCO Pharma Ltd.,Healthcare,NATCOPHARM-EQ,3918,10284,1.1
319,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG-EQ,21740,10227,1.1
320,Campus Activewear Ltd.,Consumer Durables,CAMPUS-EQ,9362,10155,1.1
321,Kalpataru Projects International Ltd.,Construction,KPIL-EQ,1814,10129,1.1
322,Computer Age Management Services Ltd.,Financial Services,CAMS-EQ,342,9950,1.1
323,Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT-EQ,100,9891,1.1
324,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL-EQ,17635,9864,1.1
325,BASF India Ltd.,Chemicals,BASF-EQ,368,9850,1.1
326,Tejas Networks Ltd.,Telecommunication,TEJASNET-EQ,21131,9777,1.1
327,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD-EQ,25328,9756,1.1
328,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL-EQ,17534,9714,1.1
329,G R Infraprojects Ltd.,Construction,GRINFRA-EQ,5054,9713,1.1
330,Angel One Ltd.,Financial Services,ANGELONE-EQ,324,9700,1.1
331,TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG-EQ,3546,9691,1.1
332,Apar Industries Ltd.,Capital Goods,APARINDS-EQ,11491,9585,1.1
333,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER-EQ,17939,9510,1.1
334,Central Depository Services (India) Ltd.,Financial Services,CDSL-EQ,21174,9496,1.1
335,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP-EQ,1181,9461,1.1
336,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA-EQ,12026,9386,1.1
337,City Union Bank Ltd.,Financial Services,CUB-EQ,5701,9318,1.1
338,JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI-EQ,13491,9312,1.1
339,Anupam Rasayan India Ltd.,Chemicals,ANURAS-EQ,2829,9299,1.1
340,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL-EQ,2283,9209,1.1
341,Great Eastern Shipping Co. Ltd.,Services,GESHIP-EQ,13776,9202,1.1
342,Poly Medicure Ltd.,Healthcare,POLYMED-EQ,25718,9140,1.1
343,NMDC Steel Ltd.,Metals & Mining,NSLNISP-EQ,14180,9099,1.1
344,Multi Commodity Exchange of India Ltd.,Financial Services,MCX-EQ,31181,9079,1.1
345,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI-EQ,11966,9047,1.1
346,Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS-EQ,14947,9029,1.1
347,CESC Ltd.,Power,CESC-EQ,628,8834,1.1
348,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST-EQ,1621,8827,1.1
349,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING-EQ,18908,8663,1.1
350,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO-EQ,20825,8658,1.1
351,ITI Ltd.,Telecommunication,ITI-EQ,1675,8560,1.1
352,Route Mobile Ltd.,Telecommunication,ROUTE-EQ,128,8529,1.1
353,RITES Ltd.,Construction,RITES-EQ,3761,8519,1.1
354,Vardhman Textiles Ltd.,Textiles,VTL-EQ,2073,8491,1.1
355,RBL Bank Ltd.,Financial Services,RBLBANK-EQ,18391,8459,1.1
356,HFCL Ltd.,Telecommunication,HFCL-EQ,21951,8397,1.1
357,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA-EQ,1838,8370,1.1
358,Cera Sanitaryware Ltd,Consumer Durables,CERA-EQ,15039,8327,1.1
359,E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY-EQ,916,8320,1.1
360,Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND-EQ,1597,8267,1.1
361,Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF-EQ,1315,8258,1.1
362,Piramal Pharma Ltd.,Healthcare,PPLPHARMA-EQ,11571,8168,1.1
363,UTI Asset Management Company Ltd.,Financial Services,UTIAMC-EQ,527,8151,1.1
364,KRBL Ltd.,Fast Moving Consumer Goods,KRBL-EQ,10577,8139,1.1
365,Raymond Ltd.,Textiles,RAYMOND-EQ,2859,8135,1.1
366,V.I.P. Industries Ltd.,Consumer Durables,VIPIND-EQ,3703,8112,1.1
367,Archean Chemical Industries Ltd.,Chemicals,ACI-EQ,12024,8003,1.1
368,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN-EQ,341,7993,1.1
369,Suzlon Energy Ltd.,Capital Goods,SUZLON-EQ,12018,7957,1.1
370,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO-EQ,144,7930,1.1
371,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC-EQ,1174,7916,1.1
372,Eris Lifesciences Ltd.,Healthcare,ERIS-EQ,21154,7780,1.1
373,Medplus Health Services Ltd.,Consumer Services,MEDPLUS-EQ,7254,7751,1.1
374,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE-EQ,6718,7740,1.1
375,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS-EQ,7358,7701,1.1
376,JBM Auto Ltd.,Automobile and Auto Components,DATAPATTNS-EQ,7358,7615,1.1
377,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP-EQ,2792,7579,1.1
378,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL-EQ,11452,7551,1.1
379,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK-EQ,913,7451,1.1
380,Chalet Hotels Ltd.,Consumer Services,CHALET-EQ,8546,7445,1.1
381,Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW-EQ,9408,7414,1.1
382,PNC Infratech Ltd.,Construction,PNCINFRA-EQ,9385,7411,1.1
383,Firstsource Solutions Ltd.,Services,FSL-EQ,14304,7353,1.1
384,KSB Ltd.,Capital Goods,KSB-EQ,1949,7291,1.1
385,Birlasoft Ltd.,Information Technology,BSOFT-EQ,6994,7178,1.1
386,KNR Constructions Ltd.,Construction,KNRCON-EQ,15283,7134,1.1
387,Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP-EQ,11813,7113,1.1
388,Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX-EQ,625,7081,1.1
389,Can Fin Homes Ltd.,Financial Services,CANFINHOME-EQ,583,7046,1.1
390,Granules India Ltd.,Healthcare,GRANULES-EQ,11872,7036,1.1
391,Tanla Platforms Ltd.,Information Technology,TANLA-EQ,13976,7032,1.1
392,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB-EQ,15146,6995,1.1
393,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT-EQ,827,6926,1.1
394,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN-EQ,2854,6877,1.1
395,Birla Corporation Ltd.,Construction Materials,BIRLACORPN-EQ,480,6855,1.1
396,BLS International Services Ltd.,Consumer Services,BLS-EQ,17279,6807,1.1
397,Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL-EQ,4693,6704,1.1
398,NCC Ltd.,Construction,NCC-EQ,2319,6661,1.1
399,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR-EQ,1570,6590,1.1
400,Latent View Analytics Ltd.,Information Technology,LATENTVIEW-EQ,6818,6579,1.1
401,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST-EQ,2056,6535,1.1
402,JK Paper Ltd.,Forest Materials,JKPAPER-EQ,11860,6466,1.1
403,Tamilnad Mercantile Bank Ltd.,Financial Services,TMB-EQ,10945,6454,1.1
404,Jindal Worldwide Ltd.,Textiles,JINDWORLD-EQ,20642,6431,1.1
405,Metropolis Healthcare Ltd.,Healthcare,METROPOLIS-EQ,9581,6392,1.1
406,NBCC (India) Ltd.,Construction,NBCC-EQ,31415,6381,1.1
407,eClerx Services Ltd.,Services,ECLERX-EQ,15179,6326,1.1
408,Balaji Amines Ltd.,Chemicals,BALAMINES-EQ,14501,6296,1.1
409,Welspun India Ltd.,Textiles,WELSPUNIND-EQ,11253,6288,1.1
410,Praj Industries Ltd.,Capital Goods,PRAJIND-EQ,2705,6264,1.1
411,Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP-EQ,21508,6258,1.1
412,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH-EQ,1076,6210,1.1
413,Amber Enterprises India Ltd.,Consumer Durables,AMBER-EQ,1185,6147,1.1
414,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE-EQ,2606,6120,1.1
415,Kennametal India Ltd.,Capital Goods,KENNAMET-EQ,11841,6050,1.1
416,Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE-EQ,16045,5997,1.1
417,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI-EQ,13081,5935,1.1
418,Garware Technical Fibres Ltd.,Textiles,GARFIBRES-EQ,1100,5930,1.1
419,Laxmi Organic Industries Ltd.,Chemicals,LXCHEM-EQ,2841,5906,1.1
420,Sterlite Technologies Ltd.,Telecommunication,STLTECH-EQ,9309,5878,1.1
421,Ceat Ltd.,Automobile and Auto Components,CEATLTD-EQ,15254,5867,1.1
422,BSE Ltd.,Financial Services,BSE-EQ,19585,5837,1.1
423,Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC-EQ,14788,5819,1.1
424,Orient Electric Ltd.,Consumer Durables,ORIENTELEC-EQ,2972,5751,1.1
425,India Cements Ltd.,Construction Materials,INDIACEM-EQ,1515,5734,1.1
426,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA-EQ,2783,5733,1.1
427,TCI Express Ltd.,Services,TCIEXP-EQ,19223,5719,1.1
428,JM Financial Ltd.,Financial Services,JMFINANCIL-EQ,13637,5690,1.1
429,Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18-EQ,14111,5679,1.1
430,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC-EQ,380,5660,1.1
431,Swan Energy Ltd.,Realty,SWANENERGY-EQ,27095,5642,1.1
432,Gujarat Pipavav Port Ltd.,Services,GPPL-EQ,19731,5629,1.1
433,Intellect Design Arena Ltd.,Information Technology,INTELLECT-EQ,5926,5572,1.1
434,Sterling and Wilson Renewable Energy Ltd.,Construction,INTELLECT-EQ,5926,5531,1.1
435,Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS-EQ,5449,5499,1.1
436,Quess Corp Ltd.,Services,QUESS-EQ,17704,5478,1.1
437,Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE-EQ,8050,5445,1.1
438,Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL-EQ,17333,5430,1.1
439,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS-EQ,6964,5426,1.1
440,Hinduja Global Solutions Ltd.,Services,HGS-EQ,14712,5408,1.1
441,Borosil Renewables Ltd.,Capital Goods,BORORENEW-EQ,3149,5361,1.1
442,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL-EQ,8828,5328,1.1
443,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA-EQ,7227,5324,1.1
444,Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN-EQ,2739,5302,1.1
445,Keystone Realtors Ltd.,Realty,RUSTOMJEE-EQ,12219,5274,1.1
446,Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF-EQ,2866,5260,1.1
447,Welspun Corp Ltd.,Capital Goods,WELCORP-EQ,11821,5243,1.1
448,BEML Ltd.,Capital Goods,BEML-EQ,395,5236,1.1
449,EPL Ltd.,Capital Goods,EPL-EQ,981,5162,1.1
450,Graphite India Ltd.,Capital Goods,GRAPHITE-EQ,592,5129,1.1
451,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA-EQ,10637,5082,1.1
452,Justdial Ltd.,Consumer Services,JUSTDIAL-EQ,29962,5018,1.1
453,Rain Industries Ltd,Chemicals,RAIN-EQ,15337,5013,1.1
454,TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST-EQ,14208,4928,1.1
455,MTAR Technologies Ltd.,Capital Goods,MTARTECH-EQ,2709,4864,1.1
456,Transport Corporation of India Ltd.,Services,TCI-EQ,10580,4862,1.1
457,RattanIndia Enterprises Ltd.,Services,RTNINDIA-EQ,27297,4858,1.1
458,Delta Corp Ltd.,Consumer Services,DELTACORP-EQ,15044,4833,1.1
459,Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS-EQ,2048,4798,1.1
460,Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT-EQ,11689,4771,1.1
461,Kfin Technologies Ltd.,Financial Services,KFINTECH-EQ,13359,4742,1.1
462,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC-EQ,1247,4741,1.1
463,Mastek Ltd.,Information Technology,MASTEK-EQ,2124,4691,1.1
464,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED-EQ,7936,4624,1.1
465,Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN-EQ,30125,4590,1.1
466,Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL-EQ,11364,4502,1.1
467,Restaurant Brands Asia Ltd.,Consumer Services,RBA-EQ,1494,4455,1.1
468,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA-EQ,3637,4441,1.1
469,Sharda Cropchem Ltd.,Chemicals,SHARDACROP-EQ,4992,4418,1.1
470,PCBL Ltd.,Chemicals,PCBL-EQ,2649,4382,1.1
471,Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI-EQ,1267,4297,1.1
472,V-Mart Retail Ltd.,Consumer Services,VMART-EQ,29284,4275,1.1
473,FDC Ltd.,Healthcare,FDC-EQ,4898,4252,1.1
474,CSB Bank Ltd.,Financial Services,CSBBANK-EQ,14966,4252,1.1
475,MMTC Ltd.,Services,MMTC-EQ,17957,4185,1.1
476,Engineers India Ltd.,Construction,ENGINERSIN-EQ,4907,4184,1.1
477,Sunteck Realty Ltd.,Realty,SUNTECK-EQ,17641,4170,1.1
478,Epigral Ltd.,Chemicals,EPIGRAL-EQ,5382,4097,1.1
479,Sobha Ltd.,Realty,SOBHA-EQ,13826,4084,1.1
480,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA-EQ,5585,3994,1.1
481,Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO-EQ,20778,3972,1.1
482,Teamlease Services Ltd.,Services,TEAMLEASE-EQ,12716,3828,1.1
483,Varroc Engineering Ltd.,Automobile and Auto Components,VARROC-EQ,3857,3809,1.1
484,Infibeam Avenues Ltd.,Financial Services,INFIBEAM-EQ,16249,3789,1.1
485,Rallis India Ltd.,Chemicals,RALLIS-EQ,2816,3751,1.1
486,Polyplex Corporation Ltd.,Capital Goods,POLYPLEX-EQ,2687,3586,1.1
487,H.E.G. Ltd.,Capital Goods,HEG-EQ,1336,3553,1.1
488,Lux Industries Ltd.,Textiles,LUXIND-EQ,11301,3491,1.1
489,Hikal Ltd.,Healthcare,HIKAL-EQ,9668,3472,1.1
490,HLE Glascoat Ltd.,Capital Goods,HLEGLAS-EQ,2289,3446,1.1
491,NOCIL Ltd.,Chemicals,NOCIL-EQ,2442,3443,1.1
492,Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA-EQ,2987,3417,1.1
493,Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL-EQ,13810,3336,1.1
494,Rossari Biotech Ltd.,Chemicals,ROSSARI-EQ,19410,3287,1.1
495,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS-EQ,4481,3127,1.1
496,IFB Industries Ltd.,Consumer Durables,IFBIND-EQ,1485,2988,1.1
497,Brightcom Group Ltd.,Information Technology,BCG-EQ,8833,2946,1.1
498,Indiabulls Real Estate Ltd.,Realty,IBREALEST-EQ,14450,2648,1.1
499,TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS-EQ,4172,2597,1.1
500,Mahindra Logistics Ltd.,Services,MAHLOG-EQ,385,2550,1.1
501,UFLEX Ltd.,Capital Goods,UFLEX-EQ,1053,2423,1.1
