0,1,2,3,4,5
2023-12-19T09:26:00+05:30,2538.5,2540.95,2538.3,2540.0,32978
2023-12-19T09:26:00+05:30,3835.95,3836.0,3831.15,3833.8,5582
2023-12-19T09:26:00+05:30,1648.7,1649.05,1648.3,1648.35,15735
2023-12-19T09:26:00+05:30,1017.5,1018.0,1017.5,1017.65,6852
2023-12-19T09:26:00+05:30,2542.3,2543.35,2540.1,2540.95,2502
2023-12-19T09:26:00+05:30,1570.5,1570.5,1568.2,1568.8,11930
2023-12-19T09:26:00+05:30,454.7,454.8,454.45,454.55,54936
2023-12-19T09:26:00+05:30,649.55,649.9,649.5,649.7,41003
2023-12-19T09:26:00+05:30,993.85,994.5,993.1,994.2,11281
2023-12-19T09:26:00+05:30,1843.5,1844.3,1843.5,1844.0,6271
2023-12-19T09:26:00+05:30,7581.05,7585.9,7580.0,7580.0,3066
2023-12-19T09:26:00+05:30,803.5,803.9,802.7,802.7,5866
2023-12-19T09:26:00+05:30,3504.6,3505.35,3501.3,3503.45,7391
2023-12-19T09:26:00+05:30,1503.5,1503.55,1502.1,1502.95,3767
2023-12-19T09:26:00+05:30,3322.0,3322.0,3317.05,3319.85,2340
2023-12-19T09:26:00+05:30,1116.9,1117.15,1116.9,1116.95,12227
2023-12-19T09:26:00+05:30,10340.85,10340.85,10332.35,10339.95,865
2023-12-19T09:26:00+05:30,1258.4,1258.9,1258.1,1258.2,3558
2023-12-19T09:26:00+05:30,3617.2,3617.2,3613.0,3614.9,1210
2023-12-19T09:26:00+05:30,4035.05,4035.05,4030.45,4032.75,409
2023-12-19T09:26:00+05:30,9971.75,9973.1,9964.75,9969.55,2060
2023-12-19T09:26:00+05:30,24768.5,24773.55,24755.0,24767.0,484
2023-12-19T09:26:00+05:30,1721.25,1722.15,1720.15,1721.15,7829
2023-12-19T09:26:00+05:30,447.2,447.2,446.8,447.0,16853
2023-12-19T09:26:00+05:30,2975.8,2975.8,2967.1,2969.25,23930
2023-12-19T09:26:00+05:30,201.75,201.75,201.35,201.35,85388
2023-12-19T09:26:00+05:30,303.8,303.95,303.75,303.95,7998
2023-12-19T09:26:00+05:30,857.75,858.0,857.25,857.25,2343
2023-12-19T09:26:00+05:30,232.55,232.65,232.5,232.65,39375
2023-12-19T09:26:00+05:30,1700.8,1701.3,1699.15,1699.75,5696
2023-12-19T09:26:00+05:30,6113.7,6115.5,6108.0,6108.0,1978
2023-12-19T09:26:00+05:30,730.6,730.75,730.2,730.35,18424
2023-12-19T09:26:00+05:30,1526.75,1526.8,1525.7,1526.2,2094
2023-12-19T09:26:00+05:30,1095.2,1095.65,1095.0,1095.25,64303
2023-12-19T09:26:00+05:30,352.95,353.05,351.7,351.7,133106
2023-12-19T09:26:00+05:30,137.35,137.35,137.2,137.2,107063
2023-12-19T09:26:00+05:30,313.5,313.5,313.3,313.4,1502
2023-12-19T09:26:00+05:30,2636.35,2639.0,2636.05,2636.05,483
2023-12-19T09:26:00+05:30,4093.35,4104.25,4091.05,4104.1,4220
2023-12-19T09:26:00+05:30,1440.0,1441.0,1439.3,1440.2,6823
2023-12-19T09:26:00+05:30,124.65,124.75,124.6,124.75,39508
2023-12-19T09:26:00+05:30,6427.85,6428.85,6423.2,6425.0,960
2023-12-19T09:26:00+05:30,2112.0,2113.1,2111.55,2112.25,438
2023-12-19T09:26:00+05:30,1289.4,1290.8,1289.1,1289.55,5374
2023-12-19T09:26:00+05:30,670.85,671.55,670.65,671.55,3511
2023-12-19T09:26:00+05:30,4899.95,4902.8,4899.1,4901.5,537
