0,1,2,3,4,5
2024-05-13T13:49:00+05:30,2790.6,2793.5,2790.0,2793.35,13567
2024-05-13T13:49:00+05:30,3931.95,3935.0,3931.25,3934.4,1624
2024-05-13T13:49:00+05:30,1446.25,1448.0,1445.6,1447.8,38211
2024-05-13T13:49:00+05:30,1115.15,1117.35,1115.05,1117.35,28638
2024-05-13T13:49:00+05:30,2358.55,2360.0,2357.85,2358.7,2815
2024-05-13T13:49:00+05:30,1419.6,1420.3,1419.35,1420.15,10620
2024-05-13T13:49:00+05:30,431.3,431.65,431.05,431.55,32897
2024-05-13T13:49:00+05:30,804.2,805.4,804.2,805.2,27017
2024-05-13T13:49:00+05:30,1288.8,1290.0,1288.7,1289.45,7257
2024-05-13T13:49:00+05:30,1619.05,1619.8,1618.4,1618.5,53740
2024-05-13T13:49:00+05:30,6682.0,6687.9,6680.05,6687.9,382
2024-05-13T13:49:00+05:30,890.75,890.85,890.3,890.8,2654
2024-05-13T13:49:00+05:30,3301.2,3303.95,3300.05,3302.7,4464
2024-05-13T13:49:00+05:30,1313.75,1315.2,1313.35,1314.95,9846
2024-05-13T13:49:00+05:30,2865.2,2869.85,2865.05,2869.85,3563
2024-05-13T13:49:00+05:30,1114.0,1116.9,1113.95,1116.45,16257
2024-05-13T13:49:00+05:30,12559.45,12567.45,12555.0,12567.45,245
2024-05-13T13:49:00+05:30,1517.0,1517.0,1516.4,1517.0,7469
2024-05-13T13:49:00+05:30,3250.45,3256.0,3249.25,3255.95,2930
2024-05-13T13:49:00+05:30,4692.0,4694.0,4691.05,4692.05,120
2024-05-13T13:49:00+05:30,9523.5,9537.6,9519.6,9535.25,2928
2024-05-13T13:49:00+05:30,2508.6,2509.8,2508.3,2509.8,237
2024-05-13T13:49:00+05:30,1572.0,1574.2,1571.9,1574.2,476
2024-05-13T13:49:00+05:30,449.1,449.8,448.9,449.55,73818
2024-05-13T13:49:00+05:30,2850.45,2851.95,2849.9,2851.2,10807
2024-05-13T13:49:00+05:30,266.75,266.95,266.55,266.95,3862
2024-05-13T13:49:00+05:30,351.05,351.5,351.0,351.25,10680
2024-05-13T13:49:00+05:30,854.55,856.45,854.2,855.95,18128
2024-05-13T13:49:00+05:30,303.75,303.9,303.65,303.9,34455
2024-05-13T13:49:00+05:30,2174.0,2177.95,2173.95,2177.2,7752
2024-05-13T13:49:00+05:30,4586.85,4589.0,4586.85,4587.0,295
2024-05-13T13:49:00+05:30,957.25,958.7,957.0,958.0,53419
2024-05-13T13:49:00+05:30,1674.05,1675.0,1673.7,1674.8,8937
2024-05-13T13:49:00+05:30,1283.4,1284.95,1283.2,1284.4,1746
2024-05-13T13:49:00+05:30,442.6,443.1,442.5,443.05,16977
2024-05-13T13:49:00+05:30,162.55,162.8,162.5,162.8,141919
2024-05-13T13:49:00+05:30,551.8,552.5,551.7,552.4,14375
2024-05-13T13:49:00+05:30,2968.9,2968.9,2968.4,2968.9,224
2024-05-13T13:49:00+05:30,6591.8,6595.0,6580.0,6584.45,5718
2024-05-13T13:49:00+05:30,1428.1,1429.4,1427.6,1429.05,1923
2024-05-13T13:49:00+05:30,157.15,157.45,157.1,157.3,84740
2024-05-13T13:49:00+05:30,8943.95,8949.0,8942.7,8947.25,627
2024-05-13T13:49:00+05:30,2375.4,2377.95,2375.0,2376.85,638
