id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
48,980.75,980.75,979.7,980.0,937,0,0.0,None,0.0,975.2333333333333,-0.3963817461124075
49,523.2,523.35,522.5,522.7,1969,0,0.0,None,0.0,521.3166666666667,-0.5612099305621482
50,559.85,560.25,559.65,559.65,1930,0,0.0,None,0.0,572.5999999999999,-5.456541937663665
51,25423.0,25423.0,25400.55,25400.55,2,0,0.0,None,0.0,25380.066666666666,-3.3096688237533334
52,754.65,755.55,753.8,755.55,1050,0,0.0,None,0.0,754.6666666666666,-0.5069791941006088
53,1841.0,1842.5,1841.0,1841.55,1254,0,0.0,None,0.0,1904.7666666666673,-5.7500383847689305
54,454.25,454.9,454.0,454.8,18107,0,0.0,None,0.0,452.9333333333334,-5.240129180122924
55,533.6,533.6,531.85,532.0,27743,0,0.0,None,0.0,852.2500000000005,-43.077252300449395
56,533.6,533.6,531.85,532.0,27743,0,0.0,None,0.0,533.7833333333331,-5.016961256918411
57,195.2,195.2,194.9,194.9,28734,0,0.0,None,0.0,195.55,-4.9963441384352905
58,1430.55,1430.8,1429.75,1429.95,3032,0,0.0,None,0.0,1427.366666666667,-1.406557037956346
59,3369.55,3371.15,3368.85,3369.0,237,0,0.0,None,0.0,3353.8999999999996,-3.775848280589507
60,533.6,533.6,531.85,532.0,27743,0,0.0,None,0.0,0.0,-90.55213198600579
61,3398.65,3400.3,3396.6,3400.0,1286,0,0.0,None,0.0,3499.9000000000015,-6.535633289808261
62,340.2,340.4,340.1,340.3,18722,0,0.0,None,0.0,340.8166666666666,-3.7885213457732476
63,1252.5,1252.5,1251.4,1252.0,1444,0,0.0,None,0.0,1245.3000000000002,-8.123578190357382
64,348.35,348.6,347.8,348.15,27300,0,0.0,None,0.0,350.4333333333334,1.0741762229641425
65,2454.2,2455.45,2451.0,2452.2,1615,0,0.0,None,0.0,2439.9000000000005,-2.9792284866468917
66,1203.8,1206.7,1203.4,1205.4,30927,0,0.0,None,0.0,1200.2999999999997,-1.4632551295675522
67,417.7,417.8,417.6,417.6,724,1800,1699818008.01382,S,417.55000000000007,417.55000000000007,-4.537661447022509
68,2182.0,2185.0,2182.0,2183.55,1287,1800,1699818008.0367575,S,2183.366666666667,2183.366666666667,-3.1448912151522386
69,4006.0,4006.0,4002.55,4004.15,143,0,0.0,None,0.0,3993.316666666666,-2.1982584907734206
70,132.15,132.2,132.0,132.0,188296,0,0.0,None,0.0,131.91666666666669,-3.64963503649635
71,1744.0,1744.7,1744.0,1744.7,188,0,0.0,None,0.0,1749.1499999999996,-3.0964481101946735
72,2182.0,2185.0,2182.0,2183.55,1287,0,0.0,None,0.0,813.5999999999999,176.17150445835708
73,117.8,117.8,117.6,117.6,35374,0,0.0,None,0.0,123.93333333333328,-9.048723897911845
74,6630.05,6634.85,6630.05,6634.85,28,0,0.0,None,0.0,6648.766666666668,-3.298280900432133
75,883.8,884.9,883.8,884.0,949,0,0.0,None,0.0,882.8333333333334,-1.2731740004467251
76,513.75,514.1,513.5,513.8,1490,0,0.0,None,0.0,511.13333333333344,-1.6085790884718671
77,1154.0,1154.6,1152.75,1152.75,2914,0,0.0,None,0.0,1150.4999999999995,-3.7208719619143036
