id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
139,687.05,687.5,687.05,687.5,5414,0,0.0,None,0.0,692.8833333333332,-3.6372555890391816
140,6058.5,6067.0,6058.5,6065.0,998,0,0.0,None,0.0,6078.25,3.6938253874627103
141,687.05,687.5,687.05,687.5,5414,0,0.0,None,0.0,0.0,0.0
142,687.05,687.5,687.05,687.5,5414,0,0.0,None,0.0,84.26666666666668,785.9536082474227
143,5932.4,5942.35,5932.4,5942.35,65,0,0.0,None,0.0,5991.049999999999,-8.734382319287977
144,82.5,82.55,82.15,82.2,653382,0,0.0,None,0.0,87.33333333333331,-9.471365638766514
145,220.3,220.3,220.15,220.3,1431,0,0.0,None,0.0,222.5333333333332,-4.52871072589382
146,5367.0,5367.05,5355.3,5356.35,76,0,0.0,None,0.0,5384.833333333334,2.902838480380392
147,83.65,83.75,83.65,83.75,17912,0,0.0,None,0.0,84.0,-5.367231638418079
148,220.3,220.3,220.15,220.3,1431,0,0.0,None,0.0,0.0,-90.2552306807626
149,220.3,220.3,220.15,220.3,1431,0,0.0,None,0.0,240.98333333333335,-15.851795263559968
150,242.6,242.95,242.6,242.65,17026,0,0.0,None,0.0,0.0,-85.7176491362312
151,2715.0,2717.95,2715.0,2716.15,73,0,0.0,None,0.0,2710.2500000000005,-1.3797360347112537
152,153.05,153.35,153.05,153.25,7509,0,0.0,None,0.0,152.9999999999999,-6.211750305997555
153,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
154,4197.0,4199.75,4197.0,4197.0,89,0,0.0,None,0.0,4298.583333333332,-9.659366087284077
155,410.8,411.65,410.8,411.65,5112,0,0.0,None,0.0,412.15000000000003,-1.9530784804096808
156,212.2,212.2,212.1,212.15,29904,0,0.0,None,0.0,213.55,-7.418721361553568
157,1877.25,1878.85,1877.25,1878.25,44,0,0.0,None,0.0,1926.1166666666668,-7.500430917731647
158,1100.95,1100.95,1097.0,1097.0,1942,0,0.0,None,0.0,1094.3000000000002,-2.4585426577157414
159,95.35,95.4,95.25,95.4,22437,0,0.0,None,0.0,98.60000000000002,-7.647628267182954
160,269.75,269.95,269.05,269.15,45428,0,0.0,None,0.0,267.7500000000001,-8.762711864406787
