id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5
11,Bajaj Finance Ltd.,Financial Services,BAJFINANCE-EQ,317,340054,7804.75,7829.0,7718.05,7739.0,7450.116666666665,7517.0999999999985,7584.083333333333,7651.066666666667,7695.033333333333,7762.016666666666,7805.983333333333,7872.966666666666,7916.9333333333325,7960.899999999998,8004.866666666665
12,Life Insurance Corporation of India,Financial Services,LICI-EQ,9480,337976,646.0,652.0,643.05,650.3,628.8499999999997,632.3999999999999,635.9499999999998,639.4999999999999,644.8999999999999,648.4499999999999,653.8499999999999,657.4,662.8,668.2,673.5999999999999
16,Axis Bank Ltd.,Financial Services,AXISBANK-EQ,5900,264120,1027.0,1037.95,1025.2,1030.9,998.8000000000002,1005.3999999999996,1012.0000000000002,1018.6000000000001,1024.7500000000002,1031.3500000000001,1037.5000000000002,1044.1000000000001,1050.2500000000002,1056.3999999999999,1062.5500000000002
23,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV-EQ,16675,201730,1565.0,1574.95,1535.05,1539.7,1434.8499999999995,1459.8999999999996,1484.9499999999996,1509.9999999999998,1524.8499999999997,1549.8999999999999,1564.7499999999998,1589.8,1604.6499999999999,1619.5,1634.3499999999995
40,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE-EQ,21808,110206,1301.0,1308.5,1284.5,1289.4,1227.0333333333338,1241.4000000000005,1255.7666666666669,1270.1333333333334,1279.7666666666669,1294.1333333333334,1303.7666666666669,1318.1333333333334,1327.7666666666669,1337.4000000000005,1347.0333333333338
45,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE-EQ,467,107296,645.2,650.65,633.35,634.7,589.0166666666669,600.1000000000004,611.1833333333335,622.2666666666668,628.4833333333335,639.5666666666667,645.7833333333334,656.8666666666667,663.0833333333334,669.3000000000002,675.5166666666669
57,Bank of Baroda,Financial Services,BANKBARODA-EQ,4668,87318,214.85,216.5,209.75,210.65,192.94999999999993,197.14999999999998,201.34999999999997,205.54999999999998,208.09999999999997,212.29999999999998,214.84999999999997,219.04999999999998,221.59999999999997,224.14999999999998,226.69999999999993
58,IndusInd Bank Ltd.,Financial Services,INDUSINDBK-EQ,5258,82857,1437.0,1445.35,1409.45,1413.0,1318.4500000000007,1341.2000000000007,1363.9500000000005,1386.7000000000003,1399.8500000000004,1422.6000000000001,1435.7500000000002,1458.5,1471.65,1484.7999999999997,1497.9499999999998
72,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD-EQ,17971,70028,793.05,795.35,780.1,782.3,742.3666666666663,751.7999999999997,761.2333333333332,770.6666666666666,776.4833333333332,785.9166666666666,791.7333333333332,801.1666666666666,806.9833333333332,812.7999999999997,818.6166666666663
74,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG-EQ,305,65886,7276.0,7339.95,7020.0,7058.65,6218.333333333332,6418.75,6619.166666666666,6819.583333333333,6939.116666666666,7139.533333333333,7259.066666666666,7459.483333333333,7579.0166666666655,7698.549999999999,7818.083333333332
76,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI-EQ,18652,62678,579.75,581.5,563.3,566.1,518.5000000000002,529.7,540.9000000000001,552.1,559.1000000000001,570.3000000000001,577.3000000000002,588.5000000000001,595.5000000000002,602.5000000000002,609.5000000000005
77,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN-EQ,685,62581,1201.0,1249.45,1200.0,1219.8,1094.5333333333328,1120.8999999999996,1147.2666666666664,1173.6333333333332,1196.7166666666665,1223.0833333333333,1246.1666666666665,1272.5333333333333,1295.6166666666666,1318.6999999999998,1341.7833333333328
87,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI-EQ,21770,52525,1280.0,1290.75,1266.0,1274.25,1211.0,1224.75,1238.5,1252.25,1263.25,1277.0,1288.0,1301.75,1312.75,1323.75,1334.75
89,Canara Bank,Financial Services,CANBK-EQ,10794,51602,375.95,383.35,373.35,374.55,348.2833333333331,354.54999999999984,360.8166666666666,367.0833333333333,370.8166666666666,377.0833333333333,380.8166666666666,387.0833333333333,390.8166666666666,394.54999999999984,398.2833333333331
90,Punjab National Bank,Financial Services,PNB-EQ,10666,51311,81.65,82.65,79.2,79.65,70.60000000000002,72.75000000000006,74.90000000000002,77.05000000000001,78.35000000000002,80.50000000000001,81.80000000000003,83.95000000000002,85.25000000000003,86.55000000000004,87.85000000000005
95,IDBI Bank Ltd.,Financial Services,IDBI-EQ,1476,48385,71.9,72.65,69.7,70.05,62.30000000000001,64.15000000000003,66.00000000000001,67.85000000000001,68.95000000000002,70.80000000000001,71.90000000000002,73.75000000000001,74.85000000000002,75.95000000000002,77.05000000000004
98,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN-EQ,4306,47155,1909.3,1912.4,1856.35,1871.45,1727.0166666666664,1759.349999999999,1791.683333333333,1824.0166666666664,1847.7333333333331,1880.0666666666666,1903.7833333333333,1936.1166666666668,1959.8333333333335,1983.5500000000006,2007.2666666666664
104,Union Bank of India,Financial Services,UNIONBANK-EQ,10753,45485,102.8,104.95,101.5,102.5,93.63333333333333,95.59999999999997,97.56666666666666,99.53333333333333,101.01666666666667,102.98333333333333,104.46666666666667,106.43333333333334,107.91666666666667,109.39999999999998,110.88333333333333
111,Yes Bank Ltd.,Financial Services,YESBANK-EQ,11915,43275,17.4,17.7,17.2,17.25,15.933333333333337,16.250000000000007,16.566666666666666,16.883333333333333,17.066666666666666,17.383333333333333,17.566666666666666,17.883333333333333,18.066666666666666,18.250000000000007,18.433333333333337
114,Indian Overseas Bank,Financial Services,IOB-EQ,9348,42435,45.35,48.6,45.2,46.35,37.666666666666686,39.55,41.43333333333334,43.31666666666667,44.833333333333336,46.71666666666667,48.233333333333334,50.11666666666667,51.63333333333333,53.14999999999998,54.66666666666666
