7
248
66
Healthcare
CIPLA-EQ
694
buy
1406.15
1406.5015375000005
177
1404.3264622949962
1408.3382452460048
49790.15442750001
executed
open
""
0
0
0
EntryTriggeredDueToRSIDivergenceForBuy
1706250954.301787
1706251146.7419868
""
1406.15
