id,O,H,L,C,V
141,6107.3,6111.0,6088.1,6091.85,1798
142,71.1,71.1,70.9,71.05,275553
143,5950.0,5951.25,5950.0,5951.25,13
144,83.45,83.5,83.15,83.15,433141
145,220.4,220.4,220.1,220.35,5738
146,5267.9,5278.6,5267.9,5276.05,269
147,83.9,83.9,83.85,83.9,27633
148,2121.65,2122.75,2119.6,2119.6,593
149,243.95,244.1,243.75,243.8,9425
150,1611.3,1614.95,1610.0,1613.0,1429
151,2715.35,2715.35,2710.0,2715.2,330
152,153.6,153.65,153.45,153.5,17605
153,36180.2,36180.2,36135.0,36135.0,5
154,4198.4,4199.0,4191.45,4191.85,472
155,412.9,412.9,411.65,411.65,17090
156,212.25,212.35,211.9,212.15,36229
157,1882.8,1883.45,1880.1,1880.1,2117
158,1103.7,1105.35,1100.65,1105.35,9885
159,96.0,96.0,95.45,95.8,141647
160,272.45,272.45,271.8,271.9,21278
161,859.4,860.3,859.4,860.05,1193
162,590.0,591.35,590.0,591.35,517
163,382.95,383.0,382.05,382.15,17731
164,1136.0,1136.0,1134.7,1135.35,691
165,37.5,37.55,37.35,37.5,195195
166,498.4,499.0,498.4,498.95,794
167,671.6,673.55,671.6,673.3,3098
168,1606.95,1607.25,1605.0,1605.0,890
169,251.55,251.8,251.4,251.6,119610
170,10.75,10.8,10.75,10.75,301930
171,3927.3,3927.3,3924.75,3924.75,25
172,138.35,138.35,138.1,138.1,40955
173,1292.45,1292.45,1292.45,1292.45,58
174,581.55,581.55,580.4,580.85,201
175,3535.8,3535.85,3535.45,3535.45,60
176,2811.5,2813.05,2807.95,2809.4,47
177,306.9,306.9,306.3,306.35,5282
178,825.6,825.75,824.6,824.8,1909
179,29650.0,29650.0,29650.0,29650.0,1
180,1040.0,1042.5,1040.0,1041.6,8641
181,3194.7,3194.7,3192.9,3192.9,54
182,1139.35,1144.4,1137.15,1144.4,5130
183,1980.7,1982.9,1978.45,1982.2,584
184,3137.75,3143.5,3137.75,3139.75,191
185,221.8,221.95,221.8,221.8,2367
186,951.05,951.9,950.55,951.9,888
187,721.0,721.0,720.3,720.95,520
188,54.45,54.45,54.35,54.35,9057
189,119.55,119.6,119.2,119.35,95701
190,551.95,551.95,549.65,550.15,1842
191,4851.2,4851.2,4851.2,4851.2,11
192,421.4,421.85,421.4,421.85,689
193,681.35,681.65,680.85,681.35,868
194,3991.0,3991.0,3970.2,3970.75,319
195,225.3,225.5,225.1,225.5,498
196,4995.75,4995.75,4978.0,4980.0,2517
197,1779.05,1779.05,1778.0,1778.0,148
198,3080.0,3082.85,3078.75,3078.75,317
199,355.8,355.8,354.85,355.3,5786
200,1430.0,1430.0,1430.0,1430.0,10
201,898.65,898.65,898.65,898.65,55
202,1176.7,1176.7,1175.5,1175.5,4
203,419.65,419.65,418.3,418.3,9563
204,60.85,60.85,60.7,60.7,13623
205,383.6,383.75,383.3,383.75,168
206,893.7,894.0,893.0,893.0,22
207,3395.4,3396.0,3392.15,3392.4,1442
208,4938.9,4942.85,4938.9,4942.85,13
209,43.55,43.6,43.35,43.6,150584
210,1554.65,1554.65,1553.35,1553.35,30
211,313.45,314.0,313.45,313.8,309
212,2113.55,2113.65,2112.95,2113.0,14
213,2930.95,2930.95,2930.95,2930.95,1
214,984.45,986.35,983.3,984.8,1679
215,1286.25,1286.5,1286.25,1286.5,2
216,6240.4,6246.25,6240.2,6240.2,41
217,248.5,248.65,248.3,248.3,4897
218,136.45,136.45,136.1,136.1,18929
219,213.45,213.5,213.25,213.35,4469
220,373.05,373.05,372.05,372.1,4400
221,806.0,806.6,805.85,806.15,598
222,0.0,0.0,0.0,0.0,0
223,326.8,327.85,326.8,327.55,4205
224,453.15,453.5,453.15,453.25,2914
225,1094.5,1095.2,1093.65,1095.2,49
226,283.2,283.4,282.8,283.15,4893
227,1750.0,1751.6,1747.95,1751.6,64
228,610.65,611.45,608.9,609.2,887
229,1545.55,1545.55,1544.05,1544.05,122
230,963.45,963.45,962.05,962.75,1033
231,438.05,438.5,438.0,438.15,3101
232,447.0,447.05,445.8,445.8,9588
233,457.7,457.7,456.6,457.0,998
234,971.9,974.25,971.75,974.2,3918
235,1596.4,1599.8,1596.35,1599.8,46
236,187.7,187.85,187.55,187.85,1145
237,5227.75,5236.45,5205.75,5210.5,10213
238,1580.0,1580.05,1577.65,1577.65,1411
239,1284.8,1284.8,1282.9,1282.9,367
240,0.0,0.0,0.0,0.0,0
241,41.75,41.75,41.6,41.65,182300
242,624.0,624.0,623.15,623.7,484
243,972.6,973.45,971.0,972.15,4323
244,744.05,744.05,742.0,742.0,2195
245,137.25,137.25,136.8,136.8,1664
246,1233.0,1233.6,1233.0,1233.0,135
247,3905.45,3905.45,3898.8,3898.8,85
248,999.95,999.95,998.15,999.15,822
249,504.4,504.5,504.4,504.45,56
250,354.8,354.95,354.1,354.85,2266
251,719.05,719.05,716.1,718.6,1798
252,1744.85,1749.95,1744.85,1746.1,810
253,2620.0,2623.25,2615.0,2618.25,3379
254,523.0,525.95,523.0,524.8,6627
255,2487.75,2488.0,2482.4,2485.8,236
256,1377.6,1377.6,1376.1,1376.15,721
257,2359.3,2361.05,2352.85,2352.85,1486
258,444.55,444.95,444.0,444.0,1480
259,34.05,34.2,34.05,34.15,288272
260,250.75,250.75,250.25,250.25,1201
261,275.35,275.35,275.0,275.0,88
262,6328.95,6334.85,6328.95,6332.8,25
263,809.25,809.25,806.55,807.2,531
264,91.95,91.95,91.75,91.75,17417
265,155.55,155.55,154.65,155.05,101532
266,1550.15,1551.95,1549.55,1551.95,2079
267,34.35,34.4,34.25,34.25,50056
268,4235.95,4235.95,4222.8,4222.8,208
269,756.2,756.55,756.2,756.55,16
270,2732.0,2735.95,2732.0,2735.65,170
271,495.7,495.85,494.15,495.0,1239
272,644.0,644.85,643.15,643.15,1195
273,0.0,0.0,0.0,0.0,0
274,626.55,627.05,625.9,625.9,144
275,1300.9,1301.55,1299.4,1300.75,395
276,1981.25,1983.25,1977.3,1977.3,7662
277,296.3,296.45,295.25,295.45,1348
278,672.0,673.9,671.2,672.75,9281
279,875.4,875.4,874.05,874.05,70
280,7410.85,7410.85,7410.85,7410.85,8
281,4569.5,4569.5,4564.0,4564.0,5
282,1038.55,1038.55,1037.05,1038.1,163
283,737.85,738.95,737.55,738.65,3373
284,371.05,371.3,370.25,370.8,546
285,68.4,68.4,68.25,68.3,50335
286,144.8,144.95,144.6,144.6,9342
287,1516.25,1516.25,1513.05,1515.85,594
288,117.55,117.55,117.15,117.15,27871
289,905.8,906.0,899.7,901.0,8502
290,337.7,338.0,337.6,338.0,809
291,289.8,289.8,289.25,289.4,1552
292,564.2,565.25,564.2,565.25,2208
293,331.35,331.5,331.05,331.05,130
294,679.6,679.6,679.15,679.15,3
295,624.6,624.6,623.45,624.0,97
296,1166.0,1167.1,1164.75,1167.1,1046
297,867.45,868.45,866.6,867.4,344
298,962.0,962.0,961.0,961.1,393
299,125.2,125.2,125.1,125.1,6267
300,827.6,827.85,825.95,825.95,409
