id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
39,Capital Goods,SIEMENS-EQ,3150,4152.0,7087.0,7090.0,7470,10.375,0.1463328631875881,green,"3.0, 1.5, 0.25","hammer, normal",none,Bearish_Engulfing,2890.2,"3.0, 1.5, 0.5","-13.25811001410386, -17.496825172851185, -2.60653324034273","40.31746031745917, 34.035087719296584, 54.03899721448462",40.31746031745917,34.035087719296584,54.03899721448462,-13.25811001410386,"hammer, none","none, Bearish_Engulfing",0,none,0,0,0,,
41,Oil Gas & Consumable Fuels,IOC-EQ,1624,173.95,160.8,160.7,12316,0.1300000000000068,0.0808960796515288,red,"1.0, 2.0, 1.0","marubozu, tweezer_b",none,Bearish_Engulfing,11383.7,"1.5, 3.0, 1.0","-6.222775357810998, 0.0, 6.215040397762231","46.15384615384548, 54.545454545455485, 66.66666666666666",46.15384615384548,54.545454545455485,66.66666666666666,-6.222775357810998,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
42,Automobile and Auto Components,BAJAJ-AUTO-EQ,16669,7658.25,8944.25,8944.5,29,4.200000000000182,0.0469562300855294,red,"1.0, 1.5, 0.5","normal, normal",none,Bearish_Engulfing,101.9,"0.5, 3.0, 3.0","-2.3478115042767778, -2.6273863096406784, 1.452854859798693","67.07317073170633, 66.73511293634397, 78.50241545893444",67.07317073170633,66.73511293634397,78.50241545893444,-2.3478115042767778,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
45,Financial Services,HDFCLIFE-EQ,467,563.35,556.85,556.8,647,0.2500000000000227,0.0448994252873604,red,"0.25, 1.5, 1.0","marubozu, tweezer_b",none,Bearish_Engulfing,1131.9,"0.75, 2.0, 2.0","-9.877873563219618, -8.979078746520607, -6.283662477558756","12.50000000000178, 13.333333333336366, 16.666666666669823",12.50000000000178,13.333333333336366,16.666666666669823,-9.877873563219618,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
47,Metals & Mining,VEDL-EQ,3063,273.6,441.3,440.9,26569,0.664999999999992,0.1508278521206605,red,"1.5, 1.5, 1.5","normal, normal",none,Bearish_Engulfing,16937.3,"2.0, 1.0, 1.5","-21.5468360172385, -12.463176977113331, 0.0","33.33333333333333, 38.46153846153896, 48.78048780487913",33.33333333333333,38.46153846153896,48.78048780487913,-21.5468360172385,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
57,Financial Services,BANKBARODA-EQ,4668,257.45,264.75,264.7,8244,0.229999999999984,0.0868908197959894,green,"0.75, 1.5, 0.5","normal, normal",none,Bearish_Engulfing,21362.1,"0.5, 1.5, 0.5","11.333585190782449, 13.220018885742125, 18.87504718761797","58.33333333333294, 60.86956521739151, 69.99999999999886",58.33333333333294,60.86956521739151,69.99999999999886,11.333585190782449,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
59,Automobile and Auto Components,EICHERMOT-EQ,910,3889.95,4623.45,4624.95,3357,5.394999999999982,0.1166499097287534,green,"0.75, 1.5, 0.75","hammer, marubozu",none,Bearish_Engulfing,4268.5,"1.0, 0.75, 0.75","-28.21652125968969, -31.47000616422841, -18.03592064194996","19.15887850467149, 13.065326633163924, 18.97810218977855",19.15887850467149,13.065326633163924,18.97810218977855,-28.21652125968969,"hammer, none","none, Bearish_Engulfing",0,none,0,0,0,,
62,Oil Gas & Consumable Fuels,BPCL-EQ,526,574.75,609.0,609.15,6334,0.4949999999999818,0.0812607732085663,green,"1.0, 1.5, 1.5","hammer, normal",none,Bearish_Engulfing,7180.7,"1.0, 1.0, 2.0","0.0, -2.4630541871917453, 2.46184145740977","51.16279069767356, 47.499999999999005, 55.88235294117548",51.16279069767356,47.499999999999005,55.88235294117548,0.0,"hammer, none","none, Bearish_Engulfing",0,none,0,0,0,,
67,Construction Materials,AMBUJACEM-EQ,1270,555.0,613.75,613.25,2762,0.6200000000000159,0.1011006930289467,red,"2.0, 1.5, 0.5","normal, tweezer_b",none,Bearish_Engulfing,1358.2,"3.0, 1.5, 0.5","-5.7072971871181855, 2.4439918533601186, 9.76880494952821","51.66666666666698, 61.99999999999991, 75.60975609756179",51.66666666666698,61.99999999999991,75.60975609756179,-5.7072971871181855,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
70,Capital Goods,BEL-EQ,383,181.55,230.35,230.0,181552,0.195000000000013,0.0847826086956578,red,"3.0, 2.0, 0.5","normal, tweezer_b",none,Bearish_Engulfing,60837.6,"3.0, 1.0, 0.5","-21.73913043478261, -6.511829824180842, 0.0","10.526315789475577, 16.666666666669034, 22.222222222225028",10.526315789475577,16.666666666669034,22.222222222225028,-21.73913043478261,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
