id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
28,Metals & Mining,JSWSTEEL-EQ,11723,814.65,880.0,878.9,11638,2.909265754890749,0.3310121464206109,red,"0.5, 0.75, 0.75","normal, tweezer_b",Bullish_Engulfing,none,11894.114862542132,"1.0, 0.75, 1.5","-90.45397656161164, -77.84090909090935, -92.75065437578212","37.741935483870655, 40.62499999999976, 34.73282442748081",37.741935483870655,40.62499999999976,34.73282442748081,-90.45397656161164,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
29,Power,POWERGRID-EQ,14977,282.9,290.7,291.3,62351,1.0573187149638004,0.3629655732797117,green,"0.75, 1.0, 0.75","normal, marubozu",none,none,181669.9385467393,"0.5, 0.25, 0.5","-1.7164435290082858, -22.3598211214322, -50.01724732666594","42.22222222222225, 33.333333333332845, 16.129032258063155",42.22222222222225,33.333333333332845,16.129032258063155,-1.7164435290082858,"none, none","none, none",0,none,0,0,0,,
30,Automobile and Auto Components,M&M-EQ,2031,1703.55,2046.45,2045.8,1816,5.411107012403175,0.2644983386647362,red,"0.5, 0.5, 0.75","spn_top, shooting_star",none,none,5326.976587540593,"0.5, 1.0, 1.5","-1.222015837325252, 1.9546043147894687, 1.4660248735551324","27.170418006430896, 27.750410509031305, 27.512355848434705",27.170418006430896,27.750410509031305,27.512355848434705,-1.222015837325252,"none, none","none, none",0,none,0,0,0,,
33,Power,ADANIGREEN-EQ,3563,1668.65,1808.1,1810.75,1166,5.77997971845176,0.3192036293498141,green,"0.75, 0.75, 1.0","normal, normal",Bullish_Engulfing,none,1413.5301483268147,"1.0, 1.0, 1.5","-17.396106585669425, -32.077871799127166, -50.4210992907809","32.44552058111388, 22.49999999999975, 5.1020408163265145",32.44552058111388,22.49999999999975,5.1020408163265145,-17.396106585669425,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
38,Chemicals,PIDILITIND-EQ,2664,2554.2,2922.75,2922.1,894,6.471458589345676,0.2214660206476738,red,"0.75, 1.0, 1.5","tweezer_b, spn_top",none,none,2253.4806352702503,"0.5, 2.0, 3.0","-61.42842476301384, -59.19083055341778, -54.89056087551362","10.814606741572806, 11.015736766809525, 11.42433234421344",10.814606741572806,11.015736766809525,11.42433234421344,-61.42842476301384,"none, none","none, none",0,none,0,0,0,,
39,Capital Goods,SIEMENS-EQ,3150,4152.0,5640.4,5635.2,456,14.518111710519747,0.2576325899794106,red,"0.5, 0.5, 1.0","normal, shooting_star",none,none,849.7052217789848,"0.75, 0.75, 0.75","-36.99957410562246, -27.74625913055909, -30.23585742152896","21.47540983606585, 23.47670250896077, 21.507352941177235",21.47540983606585,23.47670250896077,21.507352941177235,-36.99957410562246,"none, none","none, none",0,none,0,0,0,,
40,Financial Services,SBILIFE-EQ,21808,1419.85,1452.0,1449.25,2073,4.54854845528884,0.3138553358833079,red,"0.75, 0.5, 0.5","marubozu, hammer",none,none,2383.986993222362,"1.0, 1.5, 0.75","-21.735380369157088, -2.754820936639745, -9.993452565560808","24.436741767763813, 27.011494252873085, 23.9520958083828",24.436741767763813,27.011494252873085,23.9520958083828,-21.735380369157088,"none, none","none, none",0,none,0,0,0,,
42,Automobile and Auto Components,BAJAJ-AUTO-EQ,16669,7658.25,8656.0,8650.95,2367,21.84411710914852,0.2525054139620332,red,"1.0, 1.0, 0.25","tweezer_b, tweezer_b",none,Bearish_Engulfing,2571.625103961986,"1.0, 2.0, 0.75","-57.85491766800093, -51.98706099815157, -41.5464512406232","18.737270875764857, 20.116618075802705, 23.154362416108366",18.737270875764857,20.116618075802705,23.154362416108366,-57.85491766800093,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
43,Construction Materials,GRASIM-EQ,1232,2089.75,2339.2,2341.6,578,4.318868613612544,0.1844409213192921,green,"0.75, 0.75, 0.5","tweezer_b, normal",none,none,1001.1366057956797,"0.75, 0.5, 1.5","7.900580799452977, -2.351231190151257, -10.91049118603535","31.77339901477786, 22.625698324021283, 12.893081761004868",31.77339901477786,22.625698324021283,12.893081761004868,7.900580799452977,"none, none","none, none",0,none,0,0,0,,
45,Financial Services,HDFCLIFE-EQ,467,563.35,590.2,590.0,20149,2.216597339860161,0.3756944643830781,green,"0.5, 0.5, 0.5","shooting_star, shooting_star",none,none,27183.80749265761,"0.75, 0.75, 0.75","13.559322033897534, 16.943409013893593, 16.097602304497702","27.57201646090533, 28.03347280334736, 27.731092436974464",27.57201646090533,28.03347280334736,27.731092436974464,13.559322033897534,"none, none","none, none",0,none,0,0,0,,
46,Fast Moving Consumer Goods,BRITANNIA-EQ,547,5124.5,4789.05,4793.45,4237,9.93706759180172,0.2073051266165647,green,"0.5, 0.5, 0.5","tweezer_b, spn_top",none,none,1754.1880093883306,"3.0, 1.0, 0.75","-9.492119454672904, -18.6884663973018, -19.211493484797483","32.67175572519074, 27.823240589198285, 27.52670501232564",32.67175572519074,27.823240589198285,27.52670501232564,-9.492119454672904,"none, none","none, none",0,none,0,0,0,,
48,Fast Moving Consumer Goods,GODREJCP-EQ,10099,1218.45,1211.1,1209.45,2517,4.366530421475687,0.3610343893071799,red,"0.5, 0.5, 0.5","marubozu, normal",none,none,3582.8550349098905,"0.75, 0.75, 0.5","-34.313117532761694, -20.64239121459829, -27.265967115590804","22.608695652173918, 23.985239852398404, 21.673003802281382",22.60869565217392,23.985239852398404,21.673003802281382,-34.313117532761694,"none, none","none, none",0,none,0,0,0,,
51,Construction Materials,SHREECEM-EQ,3103,26954.8,24312.95,24300.0,37,51.3907047513462,0.2114843816927827,red,"0.5, 0.5, 0.5","marubozu, tweezer_b",none,none,42.14685901303992,"1.0, 0.5, 1.0","-20.51440329218047, -15.17709697918098, -20.51440329218047","25.707850707850938, 26.825583347322773, 23.49947349947364",25.707850707850938,26.825583347322773,23.49947349947364,-20.51440329218047,"none, none","none, none",0,none,0,0,0,,
54,Metals & Mining,HINDALCO-EQ,1363,579.9,630.9,631.9,33255,1.8968224915766472,0.3001776375338894,green,"0.75, 0.5, 0.5","normal, hammer",none,none,37055.26834661635,"1.0, 1.5, 1.0","-26.902990979586097, -42.796005706134814, -39.61337347488512","27.10843373493953, 17.123287671232713, 17.605633802816843",27.10843373493953,17.123287671232713,17.605633802816843,-26.902990979586097,"Bullish_Engulfing, none","none, none",0,none,0,0,0,,
55,Fast Moving Consumer Goods,VBL-EQ,18921,1302.5,1441.85,1440.4,2304,3.855728958810957,0.2676845986400274,red,"0.75, 1.5, 0.5","spn_top, marubozu",Bullish_Engulfing,none,5842.168664753853,"0.5, 0.75, 0.5","-35.75395723410069, -25.661476575233525, -53.55217859999336","22.727272727272847, 24.767801857585, 0.0",22.727272727272847,24.767801857585,0.0,-35.75395723410069,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
56,Realty,DLF-EQ,14732,786.6,891.0,891.0,4564,1.9605105045776063,0.220034848998609,green,"0.5, 0.5, 0.75","normal, normal",none,none,7448.526123232562,"0.75, 1.0, 1.0","-4.489337822670901, -4.489337822670901, -10.668762985006817","37.5, 37.5, 33.86243386243418",37.5,37.5,33.86243386243418,-4.489337822670901,"none, none","none, none",0,none,0,0,0,,
60,Healthcare,DRREDDY-EQ,881,6094.45,5951.45,5952.45,170,13.17022812084942,0.2212572658459864,green,"0.5, 0.75, 0.25","hammer, normal",Bullish_Engulfing,none,929.0132054724618,"0.25, 2.0, 0.25","10.24788112457804, 8.569340244813372, -2.270815811607004","35.64167725539949, 34.81338481338401, 28.912280701753453",35.64167725539949,34.81338481338401,28.912280701753453,10.24788112457804,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
61,Healthcare,DIVISLAB-EQ,10940,3699.5,3824.0,3824.0,607,8.368689082679008,0.2188464718273799,green,"0.5, 1.0, 0.25","hammer, normal",none,none,3144.442062903846,"0.25, 1.5, 0.75","2.0920502092054964, 2.0920502092054964, 12.539184952978532","37.68472906403952, 37.68472906403952, 41.80327868852467",37.68472906403952,37.68472906403952,41.80327868852467,2.0920502092054964,"none, none","none, none",0,none,0,0,0,,
63,Consumer Durables,HAVELLS-EQ,9819,1339.75,1559.05,1559.65,1855,3.4942910235662,0.2240432804517808,green,"0.75, 0.75, 1.0","shooting_star, spn_top",none,none,2067.103793095468,"1.0, 0.5, 1.5","-18.59391530150908, -22.449568647573845, -27.916827108201183","24.099722991690264, 21.489971346704813, 17.46987951807269",24.099722991690264,21.489971346704813,17.46987951807269,-18.59391530150908,"Bullish_Engulfing, none","shooting_star, none",0,none,0,0,0,,
66,Healthcare,CIPLA-EQ,694,1433.9,1396.9,1395.7,1662,3.8411385213380416,0.2752123322589411,red,"0.75, 0.75, 0.75","normal, marubozu",none,none,3495.4254200673863,"0.5, 0.75, 0.75","-26.86823816006305, -18.25470685088377, -35.8564308508731","28.10077519379849, 29.471544715447266, 21.67042889390512",28.10077519379849,29.471544715447266,21.67042889390512,-26.86823816006305,"none, none","none, none",0,none,0,0,0,,
68,Chemicals,SRF-EQ,3273,2251.1,2612.4,2610.95,358,7.0880776896758775,0.2714750450861134,red,"0.5, 0.75, 1.5","normal, hammer",hammer,none,19706.189985272867,"0.0, 0.0, 5.0","-68.36592045041218, -62.77752258459689, -66.05272730753767","38.77551020408191, 40.36827195467478, 38.89695210450004",38.77551020408191,40.36827195467478,38.89695210450004,-68.36592045041218,"none, hammer","none, none",0,none,0,0,0,,
69,Capital Goods,ABB-EQ,13,4368.2,6358.0,6355.9,1414,13.069507936785572,0.2056279667204577,red,"0.75, 0.25, 1.0","tweezer_b, shooting_star",none,none,1071.9377215348495,"1.5, 0.5, 0.75","-12.980065765666549, -9.672853098458065, -9.987731605271405","34.63497453310656, 35.9154929577463, 35.689045936395786",34.63497453310656,35.9154929577463,35.689045936395786,-12.980065765666549,"none, none","Bearish_Engulfing, none",0,none,0,0,0,,
72,Financial Services,SBICARD-EQ,17971,703.15,757.45,756.55,8607,2.1369084101535294,0.282454353334681,red,"0.75, 1.5, 1.0","normal, marubozu",none,none,9956.01349527338,"1.0, 3.0, 0.5","46.92353446566592, 58.74975245890877, 19.880715705765404","45.18272425249153, 48.05653710247365, 34.374999999999744",45.18272425249153,48.05653710247365,34.374999999999744,46.92353446566592,"none, none","none, none",0,none,0,0,0,,
73,Oil Gas & Consumable Fuels,GAIL-EQ,4717,181.6,206.7,206.95,56432,0.5359199316309087,0.2589610686788638,green,"0.75, 0.75, 0.5","normal, marubozu",Bullish_Engulfing,none,66106.57230414308,"1.0, 1.5, 1.5","-7.248127567045455, -19.35171746492529, -38.77847794473984","44.444444444444045, 39.65517241379264, 30.0",44.444444444444045,39.65517241379264,30.0,-7.248127567045455,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
75,Fast Moving Consumer Goods,TATACONSUM-EQ,3432,1150.75,1092.2,1091.15,32878,5.967796903408915,0.5469272697070902,red,"0.75, 0.5, 0.5","hammer, normal",none,none,30720.80282355505,"1.5, 0.75, 1.0","-42.15735691701333, -32.503204541292384, -31.12555499611014","18.42439644218519, 18.929503916448738, 19.00393184796813",18.42439644218519,18.929503916448738,19.00393184796813,-42.15735691701333,"hammer, none","none, none",0,none,0,0,0,,
78,Fast Moving Consumer Goods,MARICO-EQ,4067,523.2,508.05,507.9,87,0.7293245053373929,0.1435960829567617,green,"0.25, 0.25, 0.5","shooting_star, hammer",none,none,1486.15669954351,"0.0, 0.75, 2.0","-27.564481197086717, -24.603877571105205, -25.590551181102587","7.500000000000176, 7.792207792208042, 6.578947368421033",7.500000000000176,7.792207792208042,6.578947368421033,-27.56448119708672,"none, none","none, none",0,none,0,0,0,,
79,Healthcare,APOLLOHOSP-EQ,157,6235.2,6222.55,6228.35,812,15.457180221285126,0.2481745602171542,green,"1.0, 1.0, 1.0","tweezer_t, normal",none,none,1050.3077058594083,"1.0, 2.0, 3.0","-47.60490338532619, -56.97021317626988, -50.42880544759521","13.08077197998635, 5.222135619641988, 5.574043261231853",13.08077197998635,5.222135619641988,5.574043261231853,-47.60490338532619,"none, none","none, none",0,none,0,0,0,,
82,Consumer Durables,BERGEPAINT-EQ,404,567.1,505.85,505.15,4935,1.1179372034042232,0.2213079686042212,red,"0.75, 0.75, 0.5","normal, marubozu",none,none,2876.062358620448,"2.0, 0.75, 1.0","-40.58200534494728, -26.68775328654672, -31.645569620252488","30.526315789473905, 35.80246913580299, 31.578947368421684",30.526315789473905,35.80246913580299,31.578947368421684,-40.58200534494728,"none, none","none, none",0,none,0,0,0,,
83,Metals & Mining,JINDALSTEL-EQ,6733,763.1,933.8,933.55,5362,2.486308346142198,0.2663283537188365,red,"0.75, 0.75, 0.5","spn_top, hammer",hammer,Bearish_Engulfing,6182.147062957471,"1.0, 1.0, 0.5","-28.386267473623167, -25.701434996788297, -21.945083765991203","32.539682539682055, 33.88429752066065, 35.96491228070139",32.539682539682055,33.88429752066065,35.96491228070139,-28.386267473623167,"none, hammer","none, Bearish_Engulfing",0,none,0,0,0,,
87,Financial Services,ICICIGI-EQ,21770,1518.6,1702.45,1700.3,3320,5.332733927874894,0.3136348837190434,red,"0.75, 0.25, 0.5","normal, normal",none,none,1922.6581693771764,"2.0, 0.75, 0.75","-7.057578074457716, 5.580193250903378, 7.0476302343339725","25.778546712802846, 27.8504672897198, 28.11320754716998",25.778546712802846,27.8504672897198,28.11320754716998,-7.057578074457716,"none, none","Bearish_Engulfing, none",0,none,0,0,0,,
88,Healthcare,TORNTPHARM-EQ,3518,2643.7,2684.55,2687.0,82,6.013849085636877,0.2238127683526936,green,"0.25, 0.5, 1.0","marubozu, spn_top",none,none,411.05149125545216,"0.25, 0.25, 1.5","6.512839598064756, -2.6075133635053103, -1.6761025029790602","42.81524926686183, 38.3886255924169, 38.69426751592342",42.81524926686183,38.3886255924169,38.69426751592342,6.512839598064756,"none, none","none, none",0,none,0,0,0,,
91,Automobile and Auto Components,TVSMOTOR-EQ,8479,2024.15,1954.0,1954.85,1023,4.47631252889403,0.2289849619609704,green,"0.5, 0.5, 1.0","normal, normal",none,none,2432.2813143323883,"0.5, 1.0, 3.0","-31.97176253932527, -36.3357215967242, -41.73173916382838","14.933333333333094, 10.893854748603552, 5.341246290801683",14.933333333333094,10.893854748603552,5.341246290801683,-31.97176253932527,"none, none","none, none",0,none,0,0,0,,
93,Automobile and Auto Components,TIINDIA-EQ,312,3608.05,3588.9,3580.05,73,16.428332216615814,0.4588855523418894,red,"0.5, 2.0, 1.0","normal, normal",Bullish_Engulfing,none,1157.9797868659334,"0.0, 1.5, 1.0","-86.03231798438492, -61.1608013597476, -139.9887672002244","38.24302998421884, 42.16937354988398, 14.493996569468024",38.24302998421884,42.16937354988398,14.493996569468024,-86.03231798438492,"none, Bullish_Engulfing","none, none",0,none,0,0,0,,
