time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:44:00+05:30,482.95,482.95,482.2,482.2,18466,0.6303681362190818,0.1307275272125843,red,1.5,marubozu,none,Bearish_Engulfing,27626.358448835515,0.75,15.553712152633762,0.0,0.6999999999999886,56.45161290322539
2024-01-25T09:45:00+05:30,482.4,482.8,482.35,482.5,13224,0.6248466569065256,0.1295018978044612,green,0.75,shooting_star,Piercing,shooting_star,25007.747821774512,0.75,9.326424870466086,0.3000000000000113,0.0,67.21311475409848
2024-01-25T09:46:00+05:30,482.5,483.0,482.45,483.0,21415,0.6112381738326139,0.1265503465491954,green,1.0,marubozu,none,none,24354.52094508824,1.0,16.56314699792984,0.5,0.0,66.1016949152541
2024-01-25T09:47:00+05:30,483.0,483.35,482.9,483.25,107454,0.5819221422266924,0.1204184463997294,green,1.0,normal,none,none,39463.517136890376,3.0,20.693222969477496,0.25,0.0,67.21311475409848
2024-01-25T09:48:00+05:30,483.35,483.55,483.0,483.55,34664,0.5761181163672958,0.1191434425327878,green,1.0,tweezer_b,none,none,38590.87765745576,1.0,31.020576982731875,0.3000000000000113,0.0,69.69696969696979
2024-01-25T09:49:00+05:30,483.55,484.1,483.45,484.1,51315,0.5895511861187028,0.1217829345421819,green,1.5,normal,none,none,40904.35444700926,1.5,40.28093369138701,0.5500000000000114,0.0,78.0821917808218
2024-01-25T09:50:00+05:30,484.2,485.35,483.95,485.1,120582,0.7369055159153085,0.1519079604030732,green,2.0,normal,none,none,55391.19909300758,3.0,53.59719645433978,1.0,0.0,82.41758241758244
2024-01-25T09:51:00+05:30,485.25,485.3,484.8,484.85,50872,0.6938317857488888,0.1431023586158376,red,0.75,normal,none,dark_cloud_cover,54569.52653064256,1.0,50.53109209033816,0.0,0.25,76.40449438202246
2024-01-25T09:52:00+05:30,484.85,484.95,484.3,484.4,60562,0.6858623701581776,0.141590084673447,red,1.0,normal,none,none,55659.06716143482,1.5,30.96614368290669,0.0,0.4500000000000455,70.83333333333303
2024-01-25T09:53:00+05:30,484.4,484.45,483.6,483.75,83458,0.7157055755839573,0.1479494729889317,red,1.5,normal,none,none,60713.41858662849,1.5,32.04134366925088,0.0,0.6499999999999773,58.585858585858745
