time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:51:00+05:30,10020.0,10020.0,10010.45,10014.0,354,9.339940174590094,0.0932688253903544,red,1.5,normal,none,Bearish_Engulfing,324.34603645826127,1.5,0.4993009786299181,0.0,6.049999999999272,40.01883239171279
2024-01-25T09:52:00+05:30,10014.05,10014.05,10002.0,10002.0,259,9.83267832466449,0.0983071218222804,red,1.5,marubozu,none,none,312.4649389203956,1.0,-9.998000399920016,0.0,12.0,39.35185185185113
2024-01-25T09:53:00+05:30,10004.85,10004.85,10003.0,10003.1,186,8.56310044745283,0.0856044670897304,red,0.25,marubozu,none,none,289.4713136621418,0.75,-11.546420609610292,1.1000000000003638,0.0,41.69776119402969
2024-01-25T09:54:00+05:30,10003.2,10003.2,9996.7,9998.05,179,8.18799127518868,0.0818958824489643,red,1.0,normal,none,none,269.38562026902514,0.75,-7.701501792850333,0.0,5.050000000001091,35.17857142857062
2024-01-25T09:55:00+05:30,9998.05,9998.05,9990.7,9996.0,496,8.035629225154109,0.0803884476305933,red,1.0,tweezer_b,none,none,310.588234765566,2.0,-19.05762304921896,0.0,2.0499999999992724,40.08138351983679
2024-01-25T09:56:00+05:30,9985.0,9989.1,9985.0,9987.5,621,8.574605729671543,0.0858533740142332,green,0.5,normal,none,none,367.0267375354631,2.0,-23.27909887359199,0.0,8.5,21.50982419855212
2024-01-25T09:57:00+05:30,9985.0,9994.2,9985.0,9994.1,370,8.688313778822303,0.0869344291013928,green,1.5,marubozu,none,none,367.5673307108335,1.5,-17.310213025684426,6.600000000000364,0.0,33.56367226061228
2024-01-25T09:58:00+05:30,9990.3,9998.6,9988.2,9994.1,272,8.999529455400001,0.0900484231236429,green,1.5,normal,none,none,350.19145239977286,1.0,-22.713400906533764,0.0,0.0,32.70000000000073
2024-01-25T09:59:00+05:30,9997.75,9997.9,9990.3,9995.9,120,8.745069554418249,0.0874865650358471,red,1.0,hammer,hammer,none,308.33846105435964,0.5,-24.159905561279764,1.7999999999992724,0.0,27.478448275862284
2024-01-25T10:00:00+05:30,9995.9,9995.95,9990.1,9990.1,88,8.218693271796816,0.0822683784125966,red,0.75,marubozu,none,none,268.2769226808397,0.5,-23.92368444760276,0.0,5.799999999999272,19.40755873340186
