time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:29:00+05:30,4435.05,4437.3,4426.5,4433.85,711,14.973687061862565,0.3377129822132586,red,0.75,spn_top,none,dark_cloud_cover,2717.9217639132944,0.5,20.7494615289212,0.0,3.0999999999994543,52.48447204968944
2024-01-25T09:30:00+05:30,4430.5,4435.0,4430.5,4432.5,513,13.0693803233421,0.2948534759919255,green,0.5,tweezer_t,none,none,2317.026897747241,0.25,-44.67005076142173,0.0,1.3500000000003638,55.120678408349896
2024-01-25T09:31:00+05:30,4433.5,4438.25,4426.55,4435.75,2262,12.820402082734413,0.2890244509436829,green,1.0,hammer,hammer,none,2307.0220072477427,1.0,9.017640759736237,3.25,0.0,34.16267942583687
2024-01-25T09:32:00+05:30,4438.2,4450.0,4436.0,4441.65,1290,13.0803289767827,0.2944925641773372,green,1.5,shooting_star,none,shooting_star,2122.1089150208804,0.75,35.68493690407721,5.899999999999636,0.0,63.1648936170213
2024-01-25T09:33:00+05:30,4444.2,4451.75,4441.65,4445.7,3323,12.538450981004091,0.2820354720517375,green,1.0,spn_top,none,none,2340.4527486534475,1.5,52.5226623478855,4.050000000000182,0.0,77.8711484593841
2024-01-25T09:34:00+05:30,4448.1,4448.1,4439.2,4443.85,1268,11.876914439003446,0.2672663217481113,red,0.75,tweezer_b,none,Bearish_Engulfing,2145.461339807366,0.75,39.15523701295171,0.0,1.8499999999994543,81.52492668621835
2024-01-25T09:35:00+05:30,4446.5,4449.3,4441.35,4447.3,663,11.16292999554824,0.2510046544093773,green,0.75,spn_top,Piercing,none,1875.922914387845,0.5,41.48584534436584,3.449999999999818,0.0,81.16591928251277
2024-01-25T09:36:00+05:30,4447.3,4449.1,4441.35,4441.8,436,10.542397269084924,0.2373451589239705,red,0.75,normal,none,Bearish_Engulfing,1614.1187481355096,0.5,28.029177360529104,0.0,5.5,67.71545827633433
2024-01-25T09:37:00+05:30,4444.0,4445.55,4441.05,4445.55,422,9.443779583796756,0.2124321981261431,green,0.5,tweezer_b,Piercing,none,1397.369884838144,0.5,19.345187884514544,3.75,0.0,70.35175879397045
2024-01-25T09:38:00+05:30,4447.9,4455.0,4447.9,4453.95,2279,9.44491056856095,0.2120569509886943,green,1.0,marubozu,none,none,1557.6662694130268,1.5,45.12848146027561,8.399999999999636,0.0,70.93596059113374
