time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:49:00+05:30,46.85,46.95,46.85,46.85,163510,0.1335744067175424,0.2851107934205814,green,0.75,spn_top,none,none,157957.1684533217,1.5,-10.67235859124806,0.0500000000000042,0.0,45.454545454545695
2024-01-25T09:50:00+05:30,46.85,46.9,46.85,46.9,101577,0.118379060041625,0.2524073774874735,green,0.5,marubozu,none,none,147706.22873453595,0.75,21.321961620469388,0.0499999999999971,0.0,49.99999999999999
2024-01-25T09:51:00+05:30,46.85,47.05,46.85,46.9,503561,0.1332192309431469,0.2840495329278186,green,2.0,shooting_star,none,shooting_star,212407.0962373476,3.0,31.98294243070332,0.0,0.0,60.00000000000029
2024-01-25T09:52:00+05:30,46.95,47.0,46.9,46.95,251588,0.1271793707716658,0.2708825788533884,green,1.0,spn_top,none,none,219530.89692146625,1.5,53.24813631522897,0.0500000000000042,0.0,70.00000000000027
2024-01-25T09:53:00+05:30,46.9,46.9,46.8,46.85,103614,0.1313285760859094,0.2803171314533819,red,1.0,tweezer_b,none,Bearish_Engulfing,198455.0974811997,0.75,21.344717182497632,0.0,0.1000000000000014,63.63636363636339
2024-01-25T09:54:00+05:30,46.75,46.8,46.7,46.75,64663,0.1347233804339256,0.2881783538693596,green,0.75,spn_top,none,none,174129.26157552702,0.5,21.390374331551108,0.0,0.1000000000000014,49.99999999999999
2024-01-25T09:55:00+05:30,46.75,46.8,46.6,46.6,128404,0.1465918567186656,0.3145747998254626,red,1.5,normal,none,Bearish_Engulfing,165815.57765270394,1.0,-21.459227467811463,0.0,0.1499999999999985,46.15384615384639
2024-01-25T09:56:00+05:30,46.7,46.75,46.7,46.7,72250,0.1472115191334534,0.3152280923628552,green,0.5,spn_top,Piercing,none,148803.6544431214,0.5,-21.413276231262167,0.1000000000000014,0.0,50.0
2024-01-25T09:57:00+05:30,46.7,46.8,46.7,46.75,52514,0.1386276065637335,0.296529639708521,green,0.75,tweezer_t,none,none,131296.44454437206,0.5,-10.695187165774794,0.0499999999999971,0.0,46.1538461538464
2024-01-25T09:58:00+05:30,46.65,46.75,46.65,46.75,143042,0.1316044053703276,0.2815067494552463,green,1.0,marubozu,none,none,133432.00008175895,1.5,-21.390374331551108,0.0,0.0,46.15384615384639
