time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:46:00+05:30,1442.45,1444.8,1442.45,1444.35,29111,2.030334012752317,0.1405707766644038,green,1.5,normal,Bullish_Engulfing,none,116267.72532928252,0.5,6.231176653857193,2.25,0.0,51.2077294685991
2024-01-25T09:47:00+05:30,1444.0,1444.15,1442.7,1442.7,40592,1.9611823740700527,0.1359383360414537,red,0.75,marubozu,none,dark_cloud_cover,102508.50254214024,0.5,-14.90261315588732,0.0,1.6499999999998636,46.69603524229059
2024-01-25T09:48:00+05:30,1442.5,1443.1,1442.5,1443.1,63637,1.713694669693663,0.1187509299212572,green,0.5,marubozu,Piercing,none,95440.95662538748,0.75,-7.276003048993014,0.3999999999998636,0.0,41.54589371980632
2024-01-25T09:49:00+05:30,1443.1,1444.95,1443.1,1443.4,81044,1.7384774570221126,0.1204432213538944,green,1.5,shooting_star,none,shooting_star,92823.3281480443,1.0,-10.738534016904214,0.3000000000001819,0.0,46.2311557788944
2024-01-25T09:50:00+05:30,1443.25,1443.35,1442.3,1442.3,47155,1.6223906466544806,0.1124863514285849,red,0.75,marubozu,none,Bearish_Engulfing,84519.99575749079,0.75,-22.18678499618696,0.0,1.1000000000001364,37.07317073170688
2024-01-25T09:51:00+05:30,1442.3,1443.1,1442.0,1443.1,92789,1.527410529080922,0.1058423206348085,green,0.75,normal,Piercing,none,86023.45107431065,1.5,-8.315432055990891,0.7999999999999545,0.0,38.57142857142814
2024-01-25T09:52:00+05:30,1443.1,1443.5,1442.75,1443.25,32339,1.3860631601571178,0.0960376345163428,green,0.75,spn_top,none,none,76262.64178807235,0.5,-9.353888792654834,0.1500000000000909,0.0,44.44444444444471
2024-01-25T09:53:00+05:30,1443.45,1443.45,1442.0,1442.1,77248,1.3976880401285592,0.0969203273093793,red,1.5,marubozu,none,Bearish_Engulfing,76441.79782660464,1.5,-11.094931003398768,0.0,1.150000000000091,37.86407766990313
2024-01-25T09:54:00+05:30,1442.2,1442.85,1441.8,1442.4,81337,1.3344720328324493,0.092517473158101,green,1.0,spn_top,Piercing,none,77331.83458540379,1.5,2.079866888520396,0.3000000000001819,0.0,43.298969072165534
2024-01-25T09:55:00+05:30,1442.25,1442.95,1441.0,1442.35,77949,1.4463862086811032,0.1002798355933791,green,1.5,spn_top,none,none,77444.04647896673,1.5,-13.86625992304226,0.0,0.0500000000001819,51.533742331288245
