time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:20:00+05:30,4348.0,4349.9,4341.0,4342.6,3762,17.9,0.4140882540049736,red,0.5,normal,none,Bearish_Engulfing,9327.9,0.5,0.0,0.0,5.399999999999636,50.0
2024-01-25T09:21:00+05:30,4342.55,4343.35,4331.75,4333.8,13391,17.9,0.4140882540049736,red,0.75,normal,none,none,9327.9,1.5,0.0,0.0,8.800000000000182,50.0
2024-01-25T09:22:00+05:30,4333.6,4345.35,4332.0,4340.0,2667,17.9,0.4140882540049736,green,0.75,tweezer_t,Piercing,none,9327.9,0.5,0.0,6.199999999999818,0.0,50.0
2024-01-25T09:23:00+05:30,4339.25,4345.35,4332.2,4333.0,2511,17.9,0.4140882540049736,red,0.75,tweezer_t,none,tweezer_top,9327.9,0.5,0.0,0.0,7.0,50.0
2024-01-25T09:24:00+05:30,4332.2,4333.0,4321.0,4322.75,6312,17.9,0.4140882540049736,red,0.75,normal,none,none,9327.9,0.75,-69.86293447458173,0.0,10.25,29.17241379310332
2024-01-25T09:25:00+05:30,4325.0,4328.2,4320.55,4322.85,4385,16.036363636363568,0.3709673857839982,red,0.5,normal,none,none,8429.190909090908,0.75,-88.71462114114404,0.1000000000003638,0.0,29.269972451790853
2024-01-25T09:26:00+05:30,4323.4,4327.35,4320.05,4321.95,1705,14.447933884297498,0.3342920182856697,red,0.75,normal,none,none,7206.610743801652,0.25,-99.60781591642704,0.0,0.9000000000005457,19.92337164750958
2024-01-25T09:27:00+05:30,4321.95,4338.7,4320.0,4338.7,2621,15.221036814425192,0.3508202183701384,green,1.5,marubozu,Bullish_Engulfing,none,6372.863335837715,0.5,-14.750962269805578,16.75,0.0,33.18414322250624
2024-01-25T09:28:00+05:30,4335.5,4339.0,4330.8,4333.15,1459,13.94448466634785,0.3218094150063545,red,0.75,normal,none,dark_cloud_cover,5479.433638412676,0.5,-34.27068068264511,0.0,5.550000000000182,40.64212999216863
2024-01-25T09:29:00+05:30,4335.0,4340.0,4335.0,4337.05,1786,12.65457836337558,0.2917784753086909,green,0.5,tweezer_t,Bullish_Engulfing,none,4807.900249610371,0.5,-12.7967166622478,3.9000000000005457,0.0,41.55744024672351
