time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:38:00+05:30,1244.9,1245.05,1244.15,1244.85,1965,1.9481786349871189,0.1564990669548234,red,0.5,spn_top,none,none,2170.819903683335,1.0,7.631441539139801,0.8999999999998636,0.0,41.05960264900567
2024-01-25T09:39:00+05:30,1245.05,1245.9,1243.6,1243.65,981,2.0121461558985847,0.1617936039801057,red,1.5,normal,none,none,1954.4890121045464,0.75,-1.2061271257979622,0.0,1.199999999999818,48.06201550387591
2024-01-25T09:40:00+05:30,1244.05,1245.45,1243.75,1245.45,566,1.9735741275533791,0.1584627345580616,green,1.0,normal,Bullish_Engulfing,none,1702.0364644491742,0.5,11.642378256855316,1.7999999999999543,0.0,60.12269938650409
2024-01-25T09:41:00+05:30,1244.95,1249.1,1244.95,1249.1,2335,2.369287922543649,0.1896796031177367,green,2.0,marubozu,none,none,1817.1207436402333,1.5,32.823633015770625,3.649999999999864,0.0,71.98275862069029
2024-01-25T09:42:00+05:30,1247.9,1248.6,1245.35,1248.6,1587,2.620326482081168,0.2098611630691308,green,1.5,hammer,hammer,none,1775.280608432918,1.0,41.64664424154908,0.0,0.5,66.21621621621661
2024-01-25T09:43:00+05:30,1248.15,1248.15,1245.15,1246.75,1538,2.771176212611832,0.2222720042199183,red,1.5,tweezer_b,none,Bearish_Engulfing,1732.1386796269328,1.0,21.255263685583245,0.0,1.849999999999909,64.75770925110163
2024-01-25T09:44:00+05:30,1246.8,1247.55,1245.75,1246.2,725,2.594598719409672,0.2082008280701069,red,0.75,normal,none,none,1549.0225560583997,0.5,16.450008024393792,0.0,0.5499999999999545,59.37500000000095
2024-01-25T09:45:00+05:30,1246.35,1246.35,1244.45,1244.45,326,2.468308043153343,0.1983452965690339,red,1.0,marubozu,none,none,1326.654818593236,0.25,6.026758809112459,0.0,1.75,51.16279069767429
2024-01-25T09:46:00+05:30,1245.2,1245.65,1244.3,1245.65,747,2.264979308034578,0.1818311169296815,green,0.75,tweezer_b,Piercing,none,1221.263033394466,0.75,13.64749327660294,1.2000000000000457,0.0,57.142857142857615
2024-01-25T09:47:00+05:30,1245.95,1247.0,1245.45,1247.0,451,2.134983070210101,0.1712095485332879,green,0.75,normal,none,none,1081.2152091409266,0.5,17.241379310345557,1.349999999999909,0.0,60.33898305084778
