id,desc,symbol,sector,token,ltp,sr1,sr2,sr3,sr4,sr5,sr6,sr7
42,CG Power and Industrial Solutions Ltd.,CGPOWER-EQ,,760,436.2,441.48,446.02,450.63,455.17,459.78,464.32,468.93
43,Canara Bank,CANBK-EQ,,10794,364.85,327.23,331.37,335.23,339.37,343.23,347.37,351.23
44,Cholamandalam Investment and Finance Company,CHOLAFIN-EQ,,685,1227.1,1088.37,1110.18,1143.07,1164.88,1197.77,1219.58,1252.47
45,Cipla Ltd.,CIPLA-EQ,,694,1235.5,1212.07,1225.53,1235.07,1248.53,1258.07,1271.53,1281.07
46,Coal India Ltd,COALINDIA-EQ,,20374,279.3,260.3,265.6,273.85,279.15,287.4,292.7,300.95
47,Coforge Ltd.,COFORGE-EQ,,11543,5618.9,5416.32,5472.93,5511.77,5568.38,5607.22,5663.83,5702.67
48,Colgate Palmolive (India) Ltd.,COLPAL-EQ,,15141,1985.85,1970.43,1988.77,2002.08,2020.42,2033.73,2052.07,2065.38
49,Container Corporation of India Ltd.,CONCOR-EQ,,4749,717.35,661.05,674.8,691.85,705.6,722.65,736.4,753.45
50,Coromandel International Ltd.,COROMANDEL-EQ,,739,1136.7,1087.22,1104.53,1114.37,1131.68,1141.52,1158.83,1168.67
51,Crompton Greaves Ltd.,CROMPTON-EQ,,17094,307.0,307.22,310.33,313.27,316.38,319.32,322.43,325.37
52,Cummins India Ltd.,CUMMINSIND-EQ,,1901,1747.35,1715.5,1726.45,1740.9,1751.85,1766.3,1777.25,1791.7
53,DLF Ltd.,DLF-EQ,,14732,532.4,519.73,525.57,532.78,538.62,545.83,551.67,558.88
54,Dabur India Ltd.,DABUR-EQ,,772,565.5,558.78,561.17,564.13,566.52,569.48,571.87,574.83
55,Dalmia Bharat Ltd.,DALBHARAT-EQ,,8075,2387.6,2257.45,2272.5,2297.3,2312.35,2337.15,2352.2,2377.0
56,Deepak Nitrite,DEEPAKNTR-EQ,,19943,2242.25,2223.4,2263.95,2291.6,2332.15,2359.8,2400.35,2428.0
57,Delhivery Ltd.,DELHIVERY-EQ,,9599,439.25,422.67,429.33,433.37,440.03,444.07,450.73,454.77
