time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:24:00+05:30,743.05,743.05,740.2,740.25,8221,2.125,0.2870651806822019,red,1.5,marubozu,none,none,6927.2,1.5,-54.711246200607285,0.0,2.75,34.716981132075645
2024-01-25T09:25:00+05:30,740.6,742.05,740.6,742.0,3120,2.0659090909090825,0.2784244057828952,green,0.75,marubozu,Piercing,none,6234.981818181818,0.75,-72.77628032344983,1.75,0.0,42.333333333333485
2024-01-25T09:26:00+05:30,741.8,743.25,740.7,741.15,11467,2.153925619834696,0.2906193914639001,red,1.5,normal,none,dark_cloud_cover,7186.257851239669,2.0,-53.29555420630163,0.0,0.8500000000000227,25.49019607843137
2024-01-25T09:27:00+05:30,741.35,742.5,740.35,742.5,8160,2.153211870773838,0.2899948647506853,green,1.0,tweezer_b,Bullish_Engulfing,none,7363.301878287002,1.5,-14.814814814815122,1.3500000000000227,0.0,38.9830508474576
2024-01-25T09:28:00+05:30,742.45,742.5,740.9,740.9,12599,2.052627894269508,0.2770452010081668,red,1.0,marubozu,none,Bearish_Engulfing,8315.246991325728,2.0,-39.14158455931944,0.0,1.6000000000000227,38.65546218487384
2024-01-25T09:29:00+05:30,741.1,741.55,740.3,741.2,7320,1.9066955498568705,0.2572444076979048,green,0.75,spn_top,Piercing,none,8134.292992902869,1.0,-33.05450620615126,0.3000000000000682,0.0,39.16666666666725
2024-01-25T09:30:00+05:30,741.15,741.95,740.15,740.95,9684,1.887296358973816,0.2547130520242682,red,1.0,spn_top,none,Bearish_Engulfing,8416.057903284165,1.5,-44.53741817936371,0.0,0.25,38.84297520661208
2024-01-25T09:31:00+05:30,740.75,741.3,740.65,740.7,8703,1.6623333846149362,0.2244273504272898,red,0.5,shooting_star,none,shooting_star,8468.229193596135,1.5,-57.37815579856892,0.0,0.25,34.89361702127709
2024-01-25T09:32:00+05:30,741.05,741.25,739.45,740.95,13613,1.687363678321303,0.2277297629153523,red,1.5,spn_top,none,none,9403.642067487746,1.5,-27.667184020513588,0.25,0.0,32.3008849557525
2024-01-25T09:33:00+05:30,740.85,740.95,740.25,740.25,3447,1.50784300953562,0.2036937533989355,red,0.5,marubozu,none,none,8320.616237035429,0.5,0.0,0.0,0.7000000000000455,36.31840796019926
