time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:22:00+05:30,1329.7,1333.85,1329.7,1331.7,55912,9.299999999999956,0.6974651267436593,green,0.5,tweezer_t,none,none,137118.3,0.5,0.0,1.2000000000000457,0.0,50.0
2024-01-25T09:23:00+05:30,1331.55,1331.55,1327.65,1330.8,72024,9.299999999999956,0.6974651267436593,red,0.5,hammer,hammer,dark_cloud_cover,137118.3,0.75,0.0,0.0,0.900000000000091,50.0
2024-01-25T09:24:00+05:30,1329.85,1333.4,1328.9,1333.4,41064,9.299999999999956,0.6974651267436593,green,0.5,normal,Bullish_Engulfing,none,137118.3,0.5,-19.874006299683995,2.6000000000001364,0.0,46.553966189857135
2024-01-25T09:25:00+05:30,1333.45,1334.75,1332.0,1333.7,49027,8.109090909090874,0.6080146141629207,green,0.5,spn_top,none,none,121101.69999999998,0.5,65.98185498987743,0.2999999999999545,0.0,46.96774193548399
2024-01-25T09:26:00+05:30,1333.4,1339.4,1332.35,1339.4,79807,7.916528925619839,0.5910503901463221,green,1.0,marubozu,none,none,113593.57272727272,0.75,25.01119904434924,5.7000000000000455,0.0,71.77177177177165
2024-01-25T09:27:00+05:30,1340.95,1345.3,1340.95,1345.0,162538,7.549887302779844,0.561329910987349,green,0.75,marubozu,none,none,122492.55950413222,1.5,54.27509293680264,5.599999999999909,0.0,66.12612612612608
2024-01-25T09:28:00+05:30,1345.3,1350.6,1345.0,1350.5,115777,7.195362338638038,0.5327924723167744,green,1.0,marubozu,none,none,121271.54868519909,1.0,125.5090707145505,5.5,0.0,70.25316455696188
2024-01-25T09:29:00+05:30,1349.75,1356.0,1349.3,1352.05,79398,7.105296458885675,0.5255202439913964,green,1.0,tweezer_t,none,none,113658.17619698108,0.75,169.00262564254214,1.5499999999999543,0.0,81.89655172413794
2024-01-25T09:30:00+05:30,1352.5,1355.1,1351.5,1351.7,100897,6.4679698299973545,0.478506312791104,red,0.75,shooting_star,none,shooting_star,111337.96234298452,1.0,156.83953539986717,0.0,0.349999999999909,95.0
2024-01-25T09:31:00+05:30,1350.5,1354.55,1349.05,1353.45,71156,6.2919753154523805,0.4648842081681909,green,1.0,normal,Bullish_Engulfing,none,104032.15100789643,0.75,160.70043222874875,1.75,0.0,95.0884086444008
