time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:45:00+05:30,3979.75,3979.75,3972.8,3972.8,94,6.059344655967071,0.1525207575505203,red,1.5,marubozu,none,none,323.0071774334449,0.5,-55.75412807088108,0.0,7.199999999999818,24.760383386581687
2024-01-25T09:46:00+05:30,3973.0,3975.8,3970.0,3975.8,259,6.012191082154909,0.1512196559725064,green,1.0,tweezer_b,Piercing,none,311.3695088091822,1.0,-48.16640676090255,3.0,0.0,15.7423971377464
2024-01-25T09:47:00+05:30,3978.45,3978.45,3974.15,3974.15,66,5.700883612672149,0.1434491303215064,red,1.0,marubozu,none,none,266.7568708438764,0.25,-45.92176943497351,0.0,1.650000000000091,14.864864864865218
2024-01-25T09:48:00+05:30,3978.3,3978.3,3973.65,3977.4,89,5.509813864913593,0.1385280299922962,red,1.0,hammer,hammer,none,234.43743978135345,0.5,-19.86222155176772,3.25,0.0,25.2475247524754
2024-01-25T09:49:00+05:30,3977.1,3977.1,3977.0,3977.0,49,4.580756798565683,0.1151812119327554,red,0.0,marubozu,none,none,200.7215416392892,0.25,-24.01307518229867,0.0,0.4000000000000909,32.415254237288025
2024-01-25T09:50:00+05:30,3977.6,3977.6,3975.05,3976.8,75,4.211528289735509,0.1059024414035281,red,0.75,tweezer_b,none,none,177.8630795230548,0.5,-23.5113659223494,0.0,0.1999999999998181,28.38137472283832
2024-01-25T09:51:00+05:30,3974.95,3975.7,3972.0,3972.0,107,4.318523146147268,0.1087241476874941,red,1.0,normal,none,none,164.97888324613575,0.75,-26.81268882175249,0.0,4.800000000000182,23.74768089053813
2024-01-25T09:52:00+05:30,3973.0,3978.95,3973.0,3973.35,215,4.796973483211368,0.120728691990672,green,1.5,shooting_star,Piercing,shooting_star,174.07363174683834,1.5,-23.783457284156373,1.349999999999909,0.0,31.249999999999773
2024-01-25T09:53:00+05:30,3970.0,3970.0,3966.05,3967.9,724,5.252069213536524,0.1323639510455536,red,1.0,tweezer_b,none,Bearish_Engulfing,274.0602441565041,3.0,-30.494720129035283,0.0,5.449999999999818,25.249169435215723
2024-01-25T09:54:00+05:30,3967.9,3967.95,3966.1,3967.95,74,4.6335111747116855,0.1167734264472003,green,0.5,hammer,hammer,none,237.685654309867,0.5,-12.22293627691973,0.0499999999997271,0.0,27.97074954296084
