time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:46:00+05:30,2600.45,2601.0,2599.8,2600.5,327,1.736778306571087,0.066786322113866,green,0.75,spn_top,none,none,909.2370310814954,0.5,18.26571813112863,0.0500000000001819,0.0,76.64233576642438
2024-01-25T09:47:00+05:30,2600.5,2604.5,2600.5,2600.5,2752,2.148273159921798,0.0826100042269486,green,2.0,spn_top,none,none,1244.2848436121326,3.0,18.26571813112863,0.0,0.0,91.30434782608695
2024-01-25T09:48:00+05:30,2599.75,2601.85,2599.75,2600.5,878,2.139496221754182,0.0822724945877401,green,1.0,tweezer_t,none,none,1177.6875993190176,0.75,16.343010959430877,0.0,0.0,91.30434782608695
2024-01-25T09:49:00+05:30,2600.0,2601.95,2599.85,2600.35,1494,2.132315090526133,0.0820010802594317,green,1.0,shooting_star,none,shooting_star,1235.1989448973782,1.5,17.497644547848278,0.0,0.1500000000000909,87.96296296296148
2024-01-25T09:50:00+05:30,2599.05,2600.0,2596.7,2598.0,1091,2.40825780133958,0.0926966051323933,red,1.5,normal,none,Bearish_Engulfing,1208.9809549160366,1.0,0.3849114703614667,0.0,2.349999999999909,65.06849315068331
2024-01-25T09:51:00+05:30,2597.3,2598.0,2597.0,2598.0,259,2.1522109283687474,0.0828410672967185,green,0.5,normal,none,none,1036.2571449313027,0.25,-7.698229407236335,0.0,0.0,50.961538461537536
2024-01-25T09:52:00+05:30,2598.75,2598.75,2597.15,2598.05,171,2.051808941392595,0.0789749597349009,red,1.0,tweezer_b,none,none,878.9376640347023,0.25,-7.505629221915736,0.0500000000001819,0.0,19.047619047627297
2024-01-25T09:53:00+05:30,2597.15,2598.35,2597.0,2598.2,783,1.9242073156848336,0.0740592454655082,green,0.75,normal,none,none,861.4944523920291,1.0,-8.852282349319461,0.1499999999996362,0.0,22.72727272727148
2024-01-25T09:54:00+05:30,2596.15,2597.5,2592.15,2594.05,3613,2.674351440105723,0.1030956010911787,red,3.0,normal,none,Bearish_Engulfing,1361.768188320751,3.0,-24.671845184170067,0.0,4.149999999999636,3.597122302158368
2024-01-25T09:55:00+05:30,2591.55,2593.5,2591.55,2592.0,711,2.642651178268319,0.1019541349640555,green,0.75,shooting_star,none,shooting_star,1243.44669953516,0.75,-32.79320987654321,0.0,2.050000000000182,2.793296089385532
