time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:59:00+05:30,143.9,143.9,143.65,143.8,39204,0.326015863371799,0.2267147867675931,red,1.0,tweezer_b,none,none,78696.50797500554,0.5,-24.3393602225309,0.0500000000000113,0.0,61.36363636363642
2024-01-25T10:00:00+05:30,143.8,143.85,143.7,143.7,27404,0.294012979122382,0.2046019339752136,red,0.75,normal,none,none,69370.59743409544,0.5,-38.2741823242875,0.0,0.1000000000000227,34.48275862068924
2024-01-25T10:01:00+05:30,143.7,143.7,143.45,143.65,16876,0.2860106192819489,0.1991024150935948,red,1.0,hammer,hammer,none,59826.12517335082,0.5,3.480682213714679,0.0,0.0499999999999829,28.571428571428847
2024-01-25T10:02:00+05:30,143.65,143.65,143.45,143.5,17660,0.2703723248670522,0.1884127699421966,red,0.75,normal,none,none,52159.55696001431,0.5,-13.937282229964364,0.0,0.1500000000000056,44.444444444444784
2024-01-25T10:03:00+05:30,143.45,143.6,143.45,143.55,30746,0.2484864476184983,0.1731009736109357,green,0.75,normal,Piercing,none,48266.18296728444,0.75,-3.483106931381605,0.0500000000000113,0.0,41.17647058823686
2024-01-25T10:04:00+05:30,143.55,143.55,143.2,143.25,35136,0.2669434571424118,0.1863479631011601,red,1.5,marubozu,none,Bearish_Engulfing,45878.87697323272,1.0,-24.43280977312352,0.0,0.3000000000000113,33.333333333334224
2024-01-25T10:05:00+05:30,143.1,143.6,143.1,143.5,40763,0.3093173740256096,0.2155521770213307,green,2.0,normal,none,none,44948.71752355404,1.0,-13.937282229964364,0.25,0.0,46.15384615384649
2024-01-25T10:06:00+05:30,143.55,143.55,143.05,143.05,26807,0.3439869423845896,0.2404662302583639,red,1.5,marubozu,none,Bearish_Engulfing,41650.2234283624,0.75,-55.92450192240357,0.0,0.4499999999999886,30.30303030303139
2024-01-25T10:07:00+05:30,143.05,143.25,143.05,143.05,43752,0.3178074983146621,0.2221653256306621,green,0.75,spn_top,Piercing,none,42032.3646232056,1.5,-48.93393918210336,0.0,0.0,23.33333333333441
2024-01-25T10:08:00+05:30,143.1,143.15,142.85,142.85,129943,0.3145697713483619,0.2202098504363752,red,1.0,normal,none,Bearish_Engulfing,58016.11650989549,3.0,-66.50332516625951,0.0,0.200000000000017,21.87500000000072
