time,O,H,L,C,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,um,dm,rsi
2024-01-25T09:41:00+05:30,142.4,142.6,142.4,142.6,71055,0.2417049640737335,0.1694985722817205,green,1.0,marubozu,none,none,56295.60245793759,1.5,-10.518934081346822,0.0499999999999829,0.0,31.25000000000011
2024-01-25T09:42:00+05:30,142.45,142.45,142.3,142.3,43863,0.2523040615148698,0.1773043299472029,red,0.75,marubozu,none,Bearish_Engulfing,54035.12928376712,1.0,-24.59592410400522,0.0,0.2999999999999829,34.48275862068992
2024-01-25T09:43:00+05:30,142.3,142.3,142.15,142.15,55155,0.2337033230576217,0.1644061365160898,red,0.75,marubozu,none,none,54238.74214126401,1.5,-10.552233556103108,0.0,0.1500000000000056,33.33333333333333
2024-01-25T09:44:00+05:30,142.3,142.3,142.2,142.2,26049,0.218484537047146,0.1536459472905387,red,0.5,marubozu,none,none,49113.334479216006,0.75,-17.58087201125176,0.0499999999999829,0.0,45.83333333333234
2024-01-25T09:45:00+05:30,142.25,142.25,142.15,142.2,25145,0.1969418939476638,0.1384964092458958,red,0.75,tweezer_b,none,none,44755.45548299491,0.75,-21.09704641350291,0.0,0.0,38.095238095238216
2024-01-25T09:46:00+05:30,142.2,142.65,142.2,142.65,86418,0.2429524586844552,0.170313675909187,green,2.0,marubozu,Bullish_Engulfing,none,52330.46357699584,2.0,14.020329477743925,0.450000000000017,0.0,55.17241379310358
2024-01-25T09:47:00+05:30,142.65,143.05,142.65,143.05,78143,0.2715065571054644,0.1897983621848754,green,1.5,marubozu,none,none,57023.65201754205,1.5,34.95281370150297,0.4000000000000057,0.0,66.6666666666672
2024-01-25T09:48:00+05:30,143.1,143.3,143.1,143.25,169758,0.2675962739953799,0.1868036816721675,green,0.75,normal,none,none,77520.80619617077,3.0,59.33682373472909,0.1999999999999886,0.0,68.42105263157887
2024-01-25T09:49:00+05:30,143.45,143.75,143.3,143.3,223779,0.3098514969053108,0.2162257480148714,red,1.5,tweezer_t,none,none,104113.20506959426,3.0,52.337752965806,0.0500000000000113,0.0,75.0000000000004
2024-01-25T09:50:00+05:30,143.35,144.3,143.3,144.15,342831,0.435333042922527,0.3020000297762934,green,3.0,normal,Bullish_Engulfing,none,147516.4405114862,3.0,107.5268817204309,0.8499999999999943,0.0,82.00000000000026
